Name;Vorname;PLZ;Straße;Hausnummer;Ort;n;VK ohne Ust;VK mit Ust;VK Gesamt;Stückpreis mit Ust;Stückpreis ohne Ust;Ust. % Satz;ZS Produkt;Zs ohne Ust;Gesamt Ust. Betrag;Betrag;Bestelldatum;Lieferdatum;KundenNr
Kabus;Bianca;68809;Rosenweg;29;Neulußheim;1; -   € ; -   € ; -   € ;39,99 €;33,61 €;19%;39,99 €;33,61 €;6,38 €;39,99 €;20.01.2018;22.01.2018;000020
Haarmeyer;Raina;68723;Platz der Befreiung;9;Schwetzingen;1;2,99 €;3,56 €;3,56 €;15,99 €;13,44 €;19%;15,99 €;13,44 €;2,55 €;19,55 €;21.01.2018;23.01.2018;000021
Babel;Ebba;71679;Bergaustraße;98;Asperg;1;2,99 €;3,56 €;3,56 €;9,99 €;8,39 €;19%;9,99 €;8,39 €;1,60 €;13,55 €;22.01.2018;24.01.2018;000022
Dähne;Jaqueline;69254;Florian-Geyer-Straße;4;Malsch bei Wiesloch;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;23.01.2018;25.01.2018;000023
Gaal;Ian;72213;Frauenlobstraße;58;Altensteig;1;1,01 €;1,20 €;1,20 €;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;5,19 €;24.01.2018;26.01.2018;000024
Maag;Cedrik;72172;Köpenicker Straße;9;Sulz am Neckar;2;2,33 €;2,77 €;2,77 €;99,99 €;84,03 €;19%;199,98 €;168,05 €;31,93 €;202,75 €;25.01.2018;27.01.2018;000025
Gaby;Kaarle;72419;Hoffmannstraße;28;Neufra;1; -   € ; -   € ; -   € ;199,99 €;168,06 €;19%;199,99 €;168,06 €;31,93 €;199,99 €;26.01.2018;28.01.2018;000026
Labrenz;Linus;71540;Arndtstraße;9;Murrhardt;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;27.01.2018;29.01.2018;000027
Laake;Luzia;71131;Dornbrunner Straße;61;Jettingen;2;1,99 €;2,37 €;2,37 €;99,99 €;84,03 €;19%;199,98 €;168,05 €;31,93 €;202,35 €;28.01.2018;30.01.2018;000028
Kaaden;Maya;72636;Friedenstraße;48;Frickenhausen (Württemberg);1;1,99 €;2,37 €;2,37 €;0,99 €;0,83 €;19%;0,99 €;0,83 €;0,16 €;3,36 €;29.01.2018;31.01.2018;000029
Lachmuth;Baldur;71729;Lohnauer Steig;45;Erdmannhausen;1; -   € ; -   € ; -   € ;79,99 €;67,22 €;19%;79,99 €;67,22 €;12,77 €;79,99 €;30.01.2018;01.02.2018;000030
Lacheta;Allessandro;71711;Hackenbergstraße;1;Steinheim an der Murr;2; -   € ; -   € ; -   € ;359,99 €;302,51 €;19%;719,98 €;605,03 €;114,95 €;719,98 €;31.01.2018;02.02.2018;000031
Ickstadt;Olivier;71579;Moissistraße;25;Spiegelberg;2;2,60 €;3,09 €;3,09 €;49,99 €;42,01 €;19%;99,98 €;84,02 €;15,96 €;103,07 €;01.02.2018;03.02.2018;000032
Qelaj;Leon;72417;Husstraße;15;Jungingen;2; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;7,98 €;6,71 €;1,27 €;7,98 €;02.02.2018;04.02.2018;000033
Calabrese;Fabian;72658;Stienitzseestraße;48;Bempflingen;1; -   € ; -   € ; -   € ;15,99 €;13,44 €;19%;15,99 €;13,44 €;2,55 €;15,99 €;03.02.2018;05.02.2018;000034
Eaton;Lucy;71139;Eigenheimgasse;62;Ehningen;1;1,63 €;1,94 €;1,94 €;359,99 €;302,51 €;19%;359,99 €;302,51 €;57,48 €;361,93 €;04.02.2018;06.02.2018;000035
Icli;Onur;71679;Walther-Nernst-Straße;48;Asperg;1;2,30 €;2,74 €;2,74 €;32,99 €;27,72 €;19%;32,99 €;27,72 €;5,27 €;35,73 €;05.02.2018;07.02.2018;000036
Ebigt;Hendrik;72131;Zinsgutstraße;3;Ofterdingen;1;2,30 €;2,74 €;2,74 €;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;22,73 €;06.02.2018;08.02.2018;000037
Gabbert;Jan;72250;Baumschulenstraße;12;Freudenstadt;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;07.02.2018;09.02.2018;000038
Calame;Fabia;72666;Zinsgutstraße;26;Neckartailfingen;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;08.02.2018;10.02.2018;000039
Baaz;Djamila;71549;Magnusstraße;6;Auenwald;3; -   € ; -   € ; -   € ;99,99 €;84,03 €;19%;299,97 €;252,08 €;47,89 €;299,97 €;09.02.2018;11.02.2018;000040
Oberlechner;Liz;72411;Freystadter Weg;3;Bodelshausen;1;2,00 €;2,38 €;2,38 €;60,99 €;51,25 €;19%;60,99 €;51,25 €;9,74 €;63,37 €;10.02.2018;12.02.2018;000041
Cakolli;Fabrizius;72655;Seidenbaustraße;14;Altdorf bei Nürtingen;1;2,00 €;2,38 €;2,38 €;3,59 €;3,02 €;19%;3,59 €;3,02 €;0,57 €;5,97 €;11.02.2018;13.02.2018;000042
Maasch;Daniel;72213;Handjerystraße;12;Altensteig;1; -   € ; -   € ; -   € ;29,99 €;25,20 €;19%;29,99 €;25,20 €;4,79 €;29,99 €;12.02.2018;14.02.2018;000043
Idinger;Patrick;71723;Hollstraße;9;Großbottwar;1; -   € ; -   € ; -   € ;4,69 €;3,94 €;19%;4,69 €;3,94 €;0,75 €;4,69 €;13.02.2018;15.02.2018;000044
Kabelka;Aamenah;68723;Gemeinschaftsstraße;6;Oftersheim;1; -   € ; -   € ; -   € ;499,99 €;420,16 €;19%;499,99 €;420,16 €;79,83 €;499,99 €;14.02.2018;16.02.2018;000045
Machnik;Hanna;72532;KGA Einigkeit II;2;Gomadingen;1;1,99 €;2,37 €;2,37 €;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;4,36 €;15.02.2018;17.02.2018;000046
Gaens;Nadine;72587;Walther-Nernst-Straße;84;Römerstein;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;16.02.2018;18.02.2018;000047
Kabatek;Abigail;68526;Walther-Nernst-Straße;3;Ladenburg;1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;17.02.2018;19.02.2018;000048
Oberhollenzer;Laura;72364;Glienicker Weg;3;Obernheim;1;1,40 €;1,67 €;1,67 €;6,39 €;5,37 €;19%;6,39 €;5,37 €;1,02 €;8,06 €;18.02.2018;20.02.2018;000049
Eber;Marianne;71540;Rosenweg;51;Murrhardt;1;3,00 €;3,57 €;3,57 €;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;6,56 €;19.02.2018;21.02.2018;000050
Abadi;Emely;68723;Bohrauer Pfad;6;Oftersheim;1; -   € ; -   € ; -   € ;32,99 €;27,72 €;19%;32,99 €;27,72 €;5,27 €;32,99 €;20.02.2018;22.02.2018;000051
Macher;Fritzi;72505;Erich-Thilo-Straße;7;Krauchenwies;2;6,43 €;7,65 €;7,65 €;49,99 €;42,01 €;19%;99,98 €;84,02 €;15,96 €;107,63 €;21.02.2018;23.02.2018;000052
Maahs;Camern;72175;Moissistraße;58;Dornhan;1;1,63 €;1,94 €;1,94 €;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;51,93 €;22.02.2018;24.02.2018;000053
Lacker;Bastian;72141;Friedlander Straße;36;Walddorfhäslach;1; -   € ; -   € ; -   € ;79,99 €;67,22 €;19%;79,99 €;67,22 €;12,77 €;79,99 €;23.02.2018;25.02.2018;000054
Ebeler;Linda;71282;Freystadter Weg;25;Hemmingen (Württemberg);2; -   € ; -   € ; -   € ;2,99 €;2,51 €;19%;5,98 €;5,03 €;0,95 €;5,98 €;24.02.2018;26.02.2018;000055
Jacimovic;Todd;72355;Erich-Thilo-Straße;6;Schömberg (Zollernalbkreis);1;1,35 €;1,61 €;1,61 €;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;51,60 €;25.02.2018;27.02.2018;000056
Kadam;Celine;69254;Platz der Befreiung;3;Malsch bei Wiesloch;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;26.02.2018;28.02.2018;000057
Ickes;Oscar;71573;Helbigstraße;5;Allmersbach im Tal;1; -   € ; -   € ; -   € ;9,99 €;8,39 €;19%;9,99 €;8,39 €;1,60 €;9,99 €;27.02.2018;01.03.2018;000058
Obendorfer;Joana;72663;Adlergestell;23;Großbettlingen;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;28.02.2018;02.03.2018;000059
Daether;Kiki;71083;Genossenschaftsstraße;1;Herrenberg;2; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;7,98 €;6,71 €;1,27 €;7,98 €;01.03.2018;03.03.2018;000060
Jaax;Samuel;72181;Am Studio;48;Starzach;1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;02.03.2018;04.03.2018;000061
Jacobeit;Will;72475;Berberitzenweg;27;Bitz;1;1,00 €;1,19 €;1,19 €;29,99 €;25,20 €;19%;29,99 €;25,20 €;4,79 €;31,18 €;03.03.2018;05.03.2018;000062
Maas;Cyranus;72189;Gemeinschaftsstraße;2;Vöhringen (Württemberg);1; -   € ; -   € ; -   € ;69,99 €;58,82 €;19%;69,99 €;58,82 €;11,17 €;69,99 €;04.03.2018;06.03.2018;000063
Cagdas;Darius;72517;Walther-Nernst-Straße;6;Sigmaringendorf;1;1,63 €;1,94 €;1,94 €;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;51,93 €;05.03.2018;07.03.2018;000064
Jacko;Volker;72393;Ernststraße;9;Burladingen;2; -   € ; -   € ; -   € ;2,99 €;2,51 €;19%;5,98 €;5,03 €;0,95 €;5,98 €;06.03.2018;08.03.2018;000065
Pacha;Hannes;72589;Silberberger Straße;6;Westerheim (Württemberg);3;1,78 €;2,12 €;2,12 €;3,59 €;3,02 €;19%;10,77 €;9,05 €;1,72 €;12,89 €;07.03.2018;09.03.2018;000066
Abassi;Frieda;68766;Gellertstraße;4;Hockenheim;1; -   € ; -   € ; -   € ;3,59 €;3,02 €;19%;3,59 €;3,02 €;0,57 €;3,59 €;08.03.2018;10.03.2018;000067
Jackson;Volker;72414;Hallberger Zeile;28;Rangendingen;1;3,99 €;4,75 €;4,75 €;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;8,74 €;09.03.2018;11.03.2018;000068
Padovani;Jaakov;72358;Hänselstraße;95;Dormettingen;1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;10.03.2018;12.03.2018;000069
Ebeling;Laureen;71287;Friedlander Straße;6;Weissach;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;11.03.2018;13.03.2018;000070
Ibler;Marlon;71296;Gellertstraße;8;Heimsheim;1; -   € ; -   € ; -   € ;169,99 €;142,85 €;19%;169,99 €;142,85 €;27,14 €;169,99 €;12.03.2018;14.03.2018;000071
Ebel;Luna;71277;Eigenheimgasse;23;Rutesheim;1; -   € ; -   € ; -   € ;9,99 €;8,39 €;19%;9,99 €;8,39 €;1,60 €;9,99 €;13.03.2018;15.03.2018;000072
Machunze;Iara;72587;Berberitzenweg;48;Römerstein;1;2,56 €;3,05 €;3,05 €;6,39 €;5,37 €;19%;6,39 €;5,37 €;1,02 €;9,44 €;14.03.2018;16.03.2018;000073
Cabrera;Christoph;72475;Walther-Nernst-Straße;1;Bitz;2; -   € ; -   € ; -   € ;5,99 €;5,03 €;19%;11,98 €;10,07 €;1,91 €;11,98 €;15.03.2018;17.03.2018;000074
Kaap;Berenike;72654;Hauptweg;47;Neckartenzlingen;2;1,99 €;2,37 €;2,37 €;3,99 €;3,35 €;19%;7,98 €;6,71 €;1,27 €;10,35 €;16.03.2018;18.03.2018;000075
Oberhauser;Leonie;72358;Eigenheimgasse;48;Dormettingen;1; -   € ; -   € ; -   € ;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;19,99 €;17.03.2018;19.03.2018;000076
Ibraimi;Niklas;71404;Neltestraße;51;Korb;1; -   € ; -   € ; -   € ;359,99 €;302,51 €;19%;359,99 €;302,51 €;57,48 €;359,99 €;18.03.2018;20.03.2018;000077
Haas;Rabi;68775;Seidenbaustraße;51;Ketsch;1;2,40 €;2,86 €;2,86 €;6,39 €;5,37 €;19%;6,39 €;5,37 €;1,02 €;9,25 €;19.03.2018;21.03.2018;000078
Caduff;Carl;72510;Handjerystraße;5;Stetten am kalten Markt;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;20.03.2018;22.03.2018;000079
Labes;Tim;71384;Heidekampweg;65;Weinstadt;2;1,99 €;2,37 €;2,37 €;4,69 €;3,94 €;19%;9,38 €;7,88 €;1,50 €;11,75 €;21.03.2018;23.03.2018;000080
Gadde;Luca;72501;Gellertstraße;26;Gammertingen;1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;22.03.2018;24.03.2018;000081
Lackerbauer;Caleb;72144;Gemeinschaftsstraße;14;Dußlingen;2; -   € ; -   € ; -   € ;99,99 €;84,03 €;19%;199,98 €;168,05 €;31,93 €;199,98 €;23.03.2018;25.03.2018;000082
Laban;Luis;71282;Dammweg;1;Hemmingen (Württemberg);1; -   € ; -   € ; -   € ;16,99 €;14,28 €;19%;16,99 €;14,28 €;2,71 €;16,99 €;24.03.2018;26.03.2018;000083
Oberndorfer;Fady;72517;Thomas-Müntzer-Straße;62;Sigmaringendorf;2; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;99,98 €;84,02 €;15,96 €;99,98 €;25.03.2018;27.03.2018;000084
Haberhauer;Ulrike;69502;Eichbuschallee;84;Hemsbach (Bergstraße);1; -   € ; -   € ; -   € ;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;2,99 €;26.03.2018;28.03.2018;000085
Kaczmarek;Charlotte;69242;Am Studio;8;Mühlhausen (Kraichgau);1; -   € ; -   € ; -   € ;15,99 €;13,44 €;19%;15,99 €;13,44 €;2,55 €;15,99 €;27.03.2018;29.03.2018;000086
Eberl;Fady;71573;Wünschelburger Gang;98;Allmersbach im Tal;1;2,55 €;3,03 €;3,03 €;119,99 €;100,83 €;19%;119,99 €;100,83 €;19,16 €;123,02 €;28.03.2018;30.03.2018;000087
Labonte;Quirin;71409;Abtstraße;1;Schwaikheim;2;1,99 €;2,37 €;2,37 €;32,99 €;27,72 €;19%;65,98 €;55,45 €;10,53 €;68,35 €;29.03.2018;31.03.2018;000088
Habegger;Sabine;69242;Bergaustraße;1;Mühlhausen (Kraichgau);1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;30.03.2018;01.04.2018;000089
Laatz;Philipp;71263;Baumschulenstraße;6;Weil der Stadt;1;1,54 €;1,83 €;1,83 €;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;3,82 €;31.03.2018;02.04.2018;000090
Ibili;Zoe;71277;Neltestraße;84;Rutesheim;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;01.04.2018;03.04.2018;000091
Ebing;Heiko;72135;Carl-Scheele-Straße;6;Dettenhausen;1;1,99 €;2,37 €;2,37 €;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;6,36 €;02.04.2018;04.04.2018;000092
Kade;Daphne;69429;Stienitzseestraße;8;Waldbrunn (Odenwald);2;3,99 €;4,75 €;4,75 €;5,99 €;5,03 €;19%;11,98 €;10,07 €;1,91 €;16,73 €;03.04.2018;05.04.2018;000093
Ebner;Hagar;72149;Am Adlergestell;1;Neustetten;1; -   € ; -   € ; -   € ;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;2,99 €;04.04.2018;06.04.2018;000094
Eberle;Fritz;71576;Dörpfeldstraße;65;Burgstetten;1; -   € ; -   € ; -   € ;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;19,99 €;05.04.2018;07.04.2018;000095
Laaber;Enna;71101;Am Adlergestell;58;Schönaich;1; -   € ; -   € ; -   € ;79,99 €;67,22 €;19%;79,99 €;67,22 €;12,77 €;79,99 €;06.04.2018;08.04.2018;000096
Baal;Caroline;71297;Platz der Befreiung;25;Mönsheim;1;1,63 €;1,94 €;1,94 €;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;3,93 €;07.04.2018;09.04.2018;000097
Pacht;Hauke;72667;Behringstraße;9;Schlaitdorf;1; -   € ; -   € ; -   € ;29,99 €;25,20 €;19%;29,99 €;25,20 €;4,79 €;29,99 €;08.04.2018;10.04.2018;000098
Däbritz;Jill;69231;Hänselstraße;26;Rauenberg;2;7,56 €;9,00 €;9,00 €;32,99 €;27,72 €;19%;65,98 €;55,45 €;10,53 €;74,98 €;09.04.2018;11.04.2018;000099
Haaker;Paula;72793;KGA Am Teltowkanal III;26;Pfullingen;1; -   € ; -   € ; -   € ;69,99 €;58,82 €;19%;69,99 €;58,82 €;11,17 €;69,99 €;10.04.2018;12.04.2018;000100
Kabuth;Blanka;69151;Schneckenburgerstraße;5;Neckargemünd;1;1,78 €;2,12 €;2,12 €;29,99 €;25,20 €;19%;29,99 €;25,20 €;4,79 €;32,11 €;11.04.2018;13.04.2018;000101
Idel;Otto;71706;Gemeinschaftsstraße;3;Markgröningen;2;1,99 €;2,37 €;2,37 €;3,59 €;3,02 €;19%;7,18 €;6,03 €;1,15 €;9,55 €;12.04.2018;14.04.2018;000102
Caba;Batiste;72414;Glienicker Weg;6;Rangendingen;1; -   € ; -   € ; -   € ;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;2,99 €;13.04.2018;15.04.2018;000103
Jaeckel;Amy;72519;Königsheideweg;2;Veringenstadt;1; -   € ; -   € ; -   € ;359,99 €;302,51 €;19%;359,99 €;302,51 €;57,48 €;359,99 €;14.04.2018;16.04.2018;000104
Paatz;Gel;72555;Ernst-Lau-Straße;26;Metzingen;1; -   € ; -   € ; -   € ;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;2,99 €;15.04.2018;17.04.2018;000105
Abdullahu;Astrid;69439;Walther-Nernst-Straße;1;Zwingenberg (Baden);2;7,56 €;9,00 €;9,00 €;19,99 €;16,80 €;19%;39,98 €;33,60 €;6,38 €;48,98 €;16.04.2018;18.04.2018;000106
Kader;Dominique;69469;Zinsgutstraße;36;Weinheim (Bergstraße);1;1,99 €;2,37 €;2,37 €;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;6,36 €;17.04.2018;19.04.2018;000107
Jähnert;Paulina;72587;Lohnauer Steig;14;Römerstein;1; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;49,99 €;18.04.2018;20.04.2018;000108
Igler;Richard;72149;Wassermannstraße;36;Neustetten;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;19.04.2018;21.04.2018;000109
Abdic;Wilma;69256;Friedlander Straße;8;Mauer (Baden);1;1,99 €;2,37 €;2,37 €;99,99 €;84,03 €;19%;99,99 €;84,03 €;15,96 €;102,36 €;20.04.2018;22.04.2018;000110
Abbasi;Anna;68809;Neltestraße;6;Neulußheim;1; -   € ; -   € ; -   € ;1,99 €;1,67 €;19%;1,99 €;1,67 €;0,32 €;1,99 €;21.04.2018;23.04.2018;000111
Oberacker;Jodi;72793;Friedenstraße;6;Pfullingen;1; -   € ; -   € ; -   € ;79,99 €;67,22 €;19%;79,99 €;67,22 €;12,77 €;79,99 €;22.04.2018;24.04.2018;000112
Machold;Heike;72537;Frauenlobstraße;1;Mehrstetten;1;1,99 €;2,37 €;2,37 €;16,99 €;14,28 €;19%;16,99 €;14,28 €;2,71 €;19,36 €;23.04.2018;25.04.2018;000113
Machauer;Felina;72417;Stienitzseestraße;27;Jungingen;2; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;99,98 €;84,02 €;15,96 €;99,98 €;24.04.2018;26.04.2018;000114
Kaak;Edda;72644;Genossenschaftsstraße;58;Oberboihingen;2;1,99 €;2,37 €;2,37 €;19,99 €;16,80 €;19%;39,98 €;33,60 €;6,38 €;42,35 €;25.04.2018;27.04.2018;000115
Cain;Donald;72574;Vogelbeerstraße;1;Bad Urach;1; -   € ; -   € ; -   € ;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;19,99 €;26.04.2018;28.04.2018;000116
Jachs;Tristan;72348;Magnusstraße;84;Rosenfeld;3;1,63 €;1,94 €;1,94 €;2,99 €;2,51 €;19%;8,97 €;7,54 €;1,43 €;10,91 €;27.04.2018;29.04.2018;000117
Kaczynski;Caren;69251;Newtonstraße;1;Gaiberg;1; -   € ; -   € ; -   € ;6,39 €;5,37 €;19%;6,39 €;5,37 €;1,02 €;6,39 €;28.04.2018;30.04.2018;000118
Gabelberger;Jonathan;72299;Dammweg;26;Wörnersberg;1; -   € ; -   € ; -   € ;60,99 €;51,25 €;19%;60,99 €;51,25 €;9,74 €;60,99 €;29.04.2018;01.05.2018;000119
Cabuk;Cedrik;72477;Eigenheimgasse;28;Schwenningen (Heuberg);1; -   € ; -   € ; -   € ;60,99 €;51,25 €;19%;60,99 €;51,25 €;9,74 €;60,99 €;30.04.2018;02.05.2018;000120
Caglar;Diminic;72531;Radickestraße;3;Hohenstein (Württemberg);3;1,54 €;1,83 €;1,83 €;69,99 €;58,82 €;19%;209,97 €;176,45 €;33,52 €;211,80 €;01.05.2018;03.05.2018;000121
Packmohr;Jaap;72224;Alpenrosenweg;4;Ebhausen;3;3,00 €;3,57 €;3,57 €;89,99 €;75,62 €;19%;269,97 €;226,87 €;43,10 €;273,54 €;02.05.2018;04.05.2018;000122
Backe;Bertram;72401;Freystadter Weg;2;Haigerloch;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;03.05.2018;05.05.2018;000123
Ebenhöh;Magdalena;71409;Otto-Franke-Straße;8;Schwaikheim;1;1,00 €;1,19 €;1,19 €;4,69 €;3,94 €;19%;4,69 €;3,94 €;0,75 €;5,88 €;04.05.2018;06.05.2018;000124
Labisch;Friedrich;71397;Hänselstraße;5;Leutenbach (Württemberg);1;1,99 €;2,37 €;2,37 €;2,99 €;2,51 €;19%;2,99 €;2,51 €;0,48 €;5,36 €;05.05.2018;07.05.2018;000125
Däumler;Kim;71111;Lohnauer Steig;25;Waldenbuch;3; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;149,97 €;126,03 €;23,94 €;149,97 €;06.05.2018;08.05.2018;000126
Gähler;Milo;72581;Helbigstraße;2;Dettingen an der Erms;1; -   € ; -   € ; -   € ;60,99 €;51,25 €;19%;60,99 €;51,25 €;9,74 €;60,99 €;07.05.2018;09.05.2018;000127
