Kunden_Nummer,Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Rechnungs_Nummer,Rechnungs_Datum,Leistungs_Beginn,Leistungs_Ende,Produkt,Preis_ohne_Ust,Preis_mit_Ust,Ust. % Satz,Ust,Abrechnungs_Nummer
PRM120110038752,Yannis,Jacqueline,Forsthausallee,1,72510,Stetten am kalten Markt,Deutschland,1095658622,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988611
PRM120110038753,Dirk,Caicedo,Thomas-Müntzer-Straße,1,72555,Metzingen,Deutschland,1095658623,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988612
PRM120110038754,Hugo,Eble,Erich-Thilo-Straße,2,72144,Dußlingen,Deutschland,1095658624,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988613
PRM120110038755,Linas,Qorraj,Bärdorfer Zeile,12,72474,Winterlingen,Deutschland,1095658625,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988614
PRM120110038756,Christoph,Maack,Hollstraße,48,72160,Horb am Neckar,Deutschland,1095658626,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988615
PRM120110038757,Jonathan,Packroff,Baumschulenstraße,7,72226,Simmersfeld,Deutschland,1095658627,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988616
PRM120110038758,Vidu,Jacksteit,KGA Holunderbusch,98,72417,Jungingen,Deutschland,1095658628,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988617
PRM120110038759,Ivette,Dada,Ekkehardstraße,28,69181,Leimen (Baden),Deutschland,1095658629,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988618
PRM120110038760,Bianca,Kabus,Rosenweg,29,68809,Neulußheim,Deutschland,1095658630,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988619
PRM120110038761,Raina,Haarmeyer,Platz der Befreiung,9,68723,Schwetzingen,Deutschland,1095658631,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988620
PRM120110038762,Ebba,Babel,Bergaustraße,98,71679,Asperg,Deutschland,1095658632,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988621
PRM120110038763,Jaqueline,Dähne,Florian-Geyer-Straße,4,69254,Malsch bei Wiesloch,Deutschland,1095658633,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988622
PRM120110038764,Ian,Gaal,Frauenlobstraße,58,72213,Altensteig,Deutschland,1095658634,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988623
PRM120110038765,Cedrik,Maag,Köpenicker Straße,9,72172,Sulz am Neckar,Deutschland,1095658635,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988624
PRM120110038766,Kaarle,Gaby,Hoffmannstraße,28,72419,Neufra,Deutschland,1095658636,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988625
PRM120110038767,Linus,Labrenz,Arndtstraße,9,71540,Murrhardt,Deutschland,1095658637,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988626
PRM120110038768,Luzia,Laake,Dornbrunner Straße,61,71131,Jettingen,Deutschland,1095658638,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988627
PRM120110038769,Maya,Kaaden,Friedenstraße,48,72636,Frickenhausen (Württemberg),Deutschland,1095658639,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988628
PRM120110038770,Baldur,Lachmuth,Lohnauer Steig,45,71729,Erdmannhausen,Deutschland,1095658640,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988629
PRM120110038771,Allessandro,Lacheta,Hackenbergstraße,1,71711,Steinheim an der Murr,Deutschland,1095658641,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988630
PRM120110038772,Olivier,Ickstadt,Moissistraße,25,71579,Spiegelberg,Deutschland,1095658642,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988631
PRM120110038773,Leon,Qelaj,Husstraße,15,72417,Jungingen,Deutschland,1095658643,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988632
PRM120110038774,Fabian,Calabrese,Stienitzseestraße,48,72658,Bempflingen,Deutschland,1095658644,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988633
PRM120110038775,Lucy,Eaton,Eigenheimgasse,62,71139,Ehningen,Deutschland,1095658645,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988634
PRM120110038776,Onur,Icli,Walther-Nernst-Straße,48,71679,Asperg,Deutschland,1095658646,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988635
PRM120110038777,Hendrik,Ebigt,Zinsgutstraße,3,72131,Ofterdingen,Deutschland,1095658647,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988636
PRM120110038778,Jan,Gabbert,Baumschulenstraße,12,72250,Freudenstadt,Deutschland,1095658648,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988637
PRM120110038779,Fabia,Calame,Zinsgutstraße,26,72666,Neckartailfingen,Deutschland,1095658649,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988638
PRM120110038780,Djamila,Baaz,Magnusstraße,6,71549,Auenwald,Deutschland,1095658650,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988639
PRM120110038781,Liz,Oberlechner,Freystadter Weg,3,72411,Bodelshausen,Deutschland,1095658651,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988640
PRM120110038782,Fabrizius,Cakolli,Seidenbaustraße,14,72655,Altdorf bei Nürtingen,Deutschland,1095658652,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988641
PRM120110038783,Daniel,Maasch,Handjerystraße,12,72213,Altensteig,Deutschland,1095658653,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988642
PRM120110038784,Patrick,Idinger,Hollstraße,9,71723,Großbottwar,Deutschland,1095658654,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988643
PRM120110038785,Aamenah,Kabelka,Gemeinschaftsstraße,6,68723,Oftersheim,Deutschland,1095658655,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988644
PRM120110038786,Hanna,Machnik,KGA Einigkeit II,2,72532,Gomadingen,Deutschland,1095658656,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988645
PRM120110038787,Nadine,Gaens,Walther-Nernst-Straße,84,72587,Römerstein,Deutschland,1095658657,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988646
PRM120110038788,Abigail,Kabatek,Walther-Nernst-Straße,3,68526,Ladenburg,Deutschland,1095658658,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988647
PRM120110038789,Laura,Oberhollenzer,Glienicker Weg,3,72364,Obernheim,Deutschland,1095658659,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988648
PRM120110038790,Marianne,Eber,Rosenweg,51,71540,Murrhardt,Deutschland,1095658660,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988649
PRM120110038791,Emely,Abadi,Bohrauer Pfad,6,68723,Oftersheim,Deutschland,1095658661,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988650
PRM120110038792,Fritzi,Macher,Erich-Thilo-Straße,7,72505,Krauchenwies,Deutschland,1095658662,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988651
PRM120110038793,Camern,Maahs,Moissistraße,58,72175,Dornhan,Deutschland,1095658663,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988652
PRM120110038794,Bastian,Lacker,Friedlander Straße,36,72141,Walddorfhäslach,Deutschland,1095658664,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988653
PRM120110038795,Linda,Ebeler,Freystadter Weg,25,71282,Hemmingen (Württemberg),Deutschland,1095658665,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988654
PRM120110038796,Todd,Jacimovic,Erich-Thilo-Straße,6,72355,Schömberg (Zollernalbkreis),Deutschland,1095658666,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988655
PRM120110038797,Celine,Kadam,Platz der Befreiung,3,69254,Malsch bei Wiesloch,Deutschland,1095658667,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988656
PRM120110038798,Oscar,Ickes,Helbigstraße,5,71573,Allmersbach im Tal,Deutschland,1095658668,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988657
PRM120110038799,Joana,Obendorfer,Adlergestell,23,72663,Großbettlingen,Deutschland,1095658669,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988658
PRM120110038800,Kiki,Daether,Genossenschaftsstraße,1,71083,Herrenberg,Deutschland,1095658670,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988659
PRM120110038801,Samuel,Jaax,Am Studio,48,72181,Starzach,Deutschland,1095658671,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988660
PRM120110038802,Will,Jacobeit,Berberitzenweg,27,72475,Bitz,Deutschland,1095658672,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988661
PRM120110038803,Cyranus,Maas,Gemeinschaftsstraße,2,72189,Vöhringen (Württemberg),Deutschland,1095658673,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988662
PRM120110038804,Darius,Cagdas,Walther-Nernst-Straße,6,72517,Sigmaringendorf,Deutschland,1095658674,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988663
PRM120110038805,Volker,Jacko,Ernststraße,9,72393,Burladingen,Deutschland,1095658675,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988664
PRM120110038806,Hannes,Pacha,Silberberger Straße,6,72589,Westerheim (Württemberg),Deutschland,1095658676,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988665
PRM120110038807,Frieda,Abassi,Gellertstraße,4,68766,Hockenheim,Deutschland,1095658677,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988666
PRM120110038808,Volker,Jackson,Hallberger Zeile,28,72414,Rangendingen,Deutschland,1095658678,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988667
PRM120110038809,Jaakov,Padovani,Hänselstraße,95,72358,Dormettingen,Deutschland,1095658679,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988668
PRM120110038810,Laureen,Ebeling,Friedlander Straße,6,71287,Weissach,Deutschland,1095658680,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988669
PRM120110038811,Marlon,Ibler,Gellertstraße,8,71296,Heimsheim,Deutschland,1095658681,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988670
PRM120110038812,Luna,Ebel,Eigenheimgasse,23,71277,Rutesheim,Deutschland,1095658682,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988671
PRM120110038813,Iara,Machunze,Berberitzenweg,48,72587,Römerstein,Deutschland,1095658683,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988672
PRM120110038814,Christoph,Cabrera,Walther-Nernst-Straße,1,72475,Bitz,Deutschland,1095658684,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988673
PRM120110038815,Berenike,Kaap,Hauptweg,47,72654,Neckartenzlingen,Deutschland,1095658685,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988674
PRM120110038816,Leonie,Oberhauser,Eigenheimgasse,48,72358,Dormettingen,Deutschland,1095658686,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988675
PRM120110038817,Niklas,Ibraimi,Neltestraße,51,71404,Korb,Deutschland,1095658687,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988676
PRM120110038818,Rabi,Haas,Seidenbaustraße,51,68775,Ketsch,Deutschland,1095658688,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988677
PRM120110038819,Carl,Caduff,Handjerystraße,5,72510,Stetten am kalten Markt,Deutschland,1095658689,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988678
PRM120110038820,Tim,Labes,Heidekampweg,65,71384,Weinstadt,Deutschland,1095658690,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988679
PRM120110038821,Luca,Gadde,Gellertstraße,26,72501,Gammertingen,Deutschland,1095658691,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988680
PRM120110038822,Caleb,Lackerbauer,Gemeinschaftsstraße,14,72144,Dußlingen,Deutschland,1095658692,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988681
PRM120110038823,Luis,Laban,Dammweg,1,71282,Hemmingen (Württemberg),Deutschland,1095658693,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988682
PRM120110038824,Fady,Oberndorfer,Thomas-Müntzer-Straße,62,72517,Sigmaringendorf,Deutschland,1095658694,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988683
PRM120110038825,Ulrike,Haberhauer,Eichbuschallee,84,69502,Hemsbach (Bergstraße),Deutschland,1095658695,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988684
PRM120110038826,Charlotte,Kaczmarek,Am Studio,8,69242,Mühlhausen (Kraichgau),Deutschland,1095658696,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988685
PRM120110038827,Fady,Eberl,Wünschelburger Gang,98,71573,Allmersbach im Tal,Deutschland,1095658697,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988686
PRM120110038828,Quirin,Labonte,Abtstraße,1,71409,Schwaikheim,Deutschland,1095658698,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988687
PRM120110038829,Sabine,Habegger,Bergaustraße,1,69242,Mühlhausen (Kraichgau),Deutschland,1095658699,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988688
PRM120110038830,Philipp,Laatz,Baumschulenstraße,6,71263,Weil der Stadt,Deutschland,1095658700,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988689
PRM120110038831,Zoe,Ibili,Neltestraße,84,71277,Rutesheim,Deutschland,1095658701,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988690
PRM120110038832,Heiko,Ebing,Carl-Scheele-Straße,6,72135,Dettenhausen,Deutschland,1095658702,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988691
PRM120110038833,Daphne,Kade,Stienitzseestraße,8,69429,Waldbrunn (Odenwald),Deutschland,1095658703,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988692
PRM120110038834,Hagar,Ebner,Am Adlergestell,1,72149,Neustetten,Deutschland,1095658704,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988693
PRM120110038835,Fritz,Eberle,Dörpfeldstraße,65,71576,Burgstetten,Deutschland,1095658705,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988694
PRM120110038836,Enna,Laaber,Am Adlergestell,58,71101,Schönaich,Deutschland,1095658706,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988695
PRM120110038837,Caroline,Baal,Platz der Befreiung,25,71297,Mönsheim,Deutschland,1095658707,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988696
PRM120110038838,Hauke,Pacht,Behringstraße,9,72667,Schlaitdorf,Deutschland,1095658708,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988697
PRM120110038839,Jill,Däbritz,Hänselstraße,26,69231,Rauenberg,Deutschland,1095658709,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988698
PRM120110038840,Paula,Haaker,KGA Am Teltowkanal III,26,72793,Pfullingen,Deutschland,1095658710,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988699
PRM120110038841,Blanka,Kabuth,Schneckenburgerstraße,5,69151,Neckargemünd,Deutschland,1095658711,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988700
PRM120110038842,Otto,Idel,Gemeinschaftsstraße,3,71706,Markgröningen,Deutschland,1095658712,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988701
PRM120110038843,Batiste,Caba,Glienicker Weg,6,72414,Rangendingen,Deutschland,1095658713,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988702
PRM120110038844,Amy,Jaeckel,Königsheideweg,2,72519,Veringenstadt,Deutschland,1095658714,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988703
PRM120110038845,Gel,Paatz,Ernst-Lau-Straße,26,72555,Metzingen,Deutschland,1095658715,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988704
PRM120110038846,Astrid,Abdullahu,Walther-Nernst-Straße,1,69439,Zwingenberg (Baden),Deutschland,1095658716,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988705
PRM120110038847,Dominique,Kader,Zinsgutstraße,36,69469,Weinheim (Bergstraße),Deutschland,1095658717,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988706
PRM120110038848,Paulina,Jähnert,Lohnauer Steig,14,72587,Römerstein,Deutschland,1095658718,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988707
PRM120110038849,Richard,Igler,Wassermannstraße,36,72149,Neustetten,Deutschland,1095658719,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988708
