Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Auftrags_Nummer,Auftrags_Datum,Rechnungs_Nummer,Rechnungs_Liefer_Datum,Artikel-Nr,Produkt-Name,Produkt-Beschreibung,Einzelpreis mit Ust,Menge,Versandart,Versandkosten,Zahlungsart,Ust. % Satz,Ust,Einzelpreis ohne Ust,Warenwert netto,Versandkosten netto,Gesamt Ust,Gesamtbetrag
Maya,Kaaden,Friedenstraße,48,72636,Frickenhausen (Württemberg),Deutschland,12354834P,14.01.2019,GER658639,17.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Baldur,Lachmuth,Lohnauer Steig,45,71729,Erdmannhausen,Deutschland,12354835P,15.01.2019,GER658640,18.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,Bar,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Allessandro,Lacheta,Hackenbergstraße,1,71711,Steinheim an der Murr,Deutschland,12354836P,16.01.2019,GER658641,19.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Olivier,Ickstadt,Moissistraße,25,71579,Spiegelberg,Deutschland,12354837P,17.01.2019,GER658642,20.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,Rechnung,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Leon,Qelaj,Husstraße,15,72417,Jungingen,Deutschland,12354838P,18.01.2019,GER658643,21.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Fabian,Calabrese,Stienitzseestraße,48,72658,Bempflingen,Deutschland,12354839P,19.01.2019,GER658644,22.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Lucy,Eaton,Eigenheimgasse,62,71139,Ehningen,Deutschland,12354840P,20.01.2019,GER658645,23.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Rechnung,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Onur,Icli,Walther-Nernst-Straße,48,71679,Asperg,Deutschland,12354841P,21.01.2019,GER658646,24.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Hendrik,Ebigt,Zinsgutstraße,3,72131,Ofterdingen,Deutschland,12354842P,22.01.2019,GER658647,25.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Jan,Gabbert,Baumschulenstraße,12,72250,Freudenstadt,Deutschland,12354843P,23.01.2019,GER658648,26.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Fabia,Calame,Zinsgutstraße,26,72666,Neckartailfingen,Deutschland,12354844P,24.01.2019,GER658649,27.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Djamila,Baaz,Magnusstraße,6,71549,Auenwald,Deutschland,12354845P,25.01.2019,GER658650,28.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Liz,Oberlechner,Freystadter Weg,3,72411,Bodelshausen,Deutschland,12354846P,26.01.2019,GER658651,29.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Fabrizius,Cakolli,Seidenbaustraße,14,72655,Altdorf bei Nürtingen,Deutschland,12354847P,27.01.2019,GER658652,30.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Daniel,Maasch,Handjerystraße,12,72213,Altensteig,Deutschland,12354848P,28.01.2019,GER658653,31.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Selbstabholer,0.0,Bar,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Patrick,Idinger,Hollstraße,9,71723,Großbottwar,Deutschland,12354849P,29.01.2019,GER658654,01.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Aamenah,Kabelka,Gemeinschaftsstraße,6,68723,Oftersheim,Deutschland,12354850P,30.01.2019,GER658655,02.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Hanna,Machnik,KGA Einigkeit II,2,72532,Gomadingen,Deutschland,12354851P,31.01.2019,GER658656,03.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Nadine,Gaens,Walther-Nernst-Straße,84,72587,Römerstein,Deutschland,12354852P,01.02.2019,GER658657,04.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Abigail,Kabatek,Walther-Nernst-Straße,3,68526,Ladenburg,Deutschland,12354853P,02.02.2019,GER658658,05.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Laura,Oberhollenzer,Glienicker Weg,3,72364,Obernheim,Deutschland,12354854P,03.02.2019,GER658659,06.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Marianne,Eber,Rosenweg,51,71540,Murrhardt,Deutschland,12354855P,04.02.2019,GER658660,07.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Emely,Abadi,Bohrauer Pfad,6,68723,Oftersheim,Deutschland,12354856P,05.02.2019,GER658661,08.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Fritzi,Macher,Erich-Thilo-Straße,7,72505,Krauchenwies,Deutschland,12354857P,06.02.2019,GER658662,09.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,Rechnung,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Camern,Maahs,Moissistraße,58,72175,Dornhan,Deutschland,12354858P,07.02.2019,GER658663,10.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,Bar,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Bastian,Lacker,Friedlander Straße,36,72141,Walddorfhäslach,Deutschland,12354859P,08.02.2019,GER658664,11.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Linda,Ebeler,Freystadter Weg,25,71282,Hemmingen (Württemberg),Deutschland,12354860P,09.02.2019,GER658665,12.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Todd,Jacimovic,Erich-Thilo-Straße,6,72355,Schömberg (Zollernalbkreis),Deutschland,12354861P,10.02.2019,GER658666,13.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Celine,Kadam,Platz der Befreiung,3,69254,Malsch bei Wiesloch,Deutschland,12354862P,11.02.2019,GER658667,14.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,Rechnung,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Oscar,Ickes,Helbigstraße,5,71573,Allmersbach im Tal,Deutschland,12354863P,12.02.2019,GER658668,15.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Joana,Obendorfer,Adlergestell,23,72663,Großbettlingen,Deutschland,12354864P,13.02.2019,GER658669,16.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Kiki,Daether,Genossenschaftsstraße,1,71083,Herrenberg,Deutschland,12354865P,14.02.2019,GER658670,17.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,Bar,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Samuel,Jaax,Am Studio,48,72181,Starzach,Deutschland,12354866P,15.02.2019,GER658671,18.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Will,Jacobeit,Berberitzenweg,27,72475,Bitz,Deutschland,12354867P,16.02.2019,GER658672,19.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Cyranus,Maas,Gemeinschaftsstraße,2,72189,Vöhringen (Württemberg),Deutschland,12354868P,17.02.2019,GER658673,20.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Darius,Cagdas,Walther-Nernst-Straße,6,72517,Sigmaringendorf,Deutschland,12354869P,18.02.2019,GER658674,21.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,Bar,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Volker,Jacko,Ernststraße,9,72393,Burladingen,Deutschland,12354870P,19.02.2019,GER658675,22.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Hannes,Pacha,Silberberger Straße,6,72589,Westerheim (Württemberg),Deutschland,12354871P,20.02.2019,GER658676,23.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,Bar,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Frieda,Abassi,Gellertstraße,4,68766,Hockenheim,Deutschland,12354872P,21.02.2019,GER658677,24.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,Bar,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Volker,Jackson,Hallberger Zeile,28,72414,Rangendingen,Deutschland,12354873P,22.02.2019,GER658678,25.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Jaakov,Padovani,Hänselstraße,95,72358,Dormettingen,Deutschland,12354874P,23.02.2019,GER658679,26.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Selbstabholer,0.0,Rechnung,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Laureen,Ebeling,Friedlander Straße,6,71287,Weissach,Deutschland,12354875P,24.02.2019,GER658680,27.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Marlon,Ibler,Gellertstraße,8,71296,Heimsheim,Deutschland,12354876P,25.02.2019,GER658681,28.02.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,Bar,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Luna,Ebel,Eigenheimgasse,23,71277,Rutesheim,Deutschland,12354877P,26.02.2019,GER658682,01.03.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,Bar,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Iara,Machunze,Berberitzenweg,48,72587,Römerstein,Deutschland,12354878P,27.02.2019,GER658683,02.03.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Christoph,Cabrera,Walther-Nernst-Straße,1,72475,Bitz,Deutschland,12354879P,28.02.2019,GER658684,03.03.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Berenike,Kaap,Hauptweg,47,72654,Neckartenzlingen,Deutschland,12354880P,01.03.2019,GER658685,04.03.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,Rechnung,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Leonie,Oberhauser,Eigenheimgasse,48,72358,Dormettingen,Deutschland,12354881P,02.03.2019,GER658686,05.03.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,Rechnung,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Niklas,Ibraimi,Neltestraße,51,71404,Korb,Deutschland,12354882P,03.03.2019,GER658687,06.03.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Bar,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Rabi,Haas,Seidenbaustraße,51,68775,Ketsch,Deutschland,12354883P,04.03.2019,GER658688,07.03.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
