Lastname;Name;Street;HouseNumber;PostalCode;City;Country;email;InvoiceID;InvoiceDate;OrderNr;Ref;Product;n;x;s00;s1;total
Oberegger;Kaaria;Genossenschaftsstra·e;64;72227;Egenhausen;Deutschland;Kaaria.Oberegger@gmx.de;FR-21-591430385;21.10.2021;2ZI89YABFUW;AQ5158NTGCVH;50 x Exalted Orb | Scourge League | Path of Exile | PoE | Deutsche IP;1;34;34;6;40
Jacqueline;Yannis;Forsthausallee;1;72510;Stetten am kalten Markt;Deutschland;Yannis.Jacqueline@gmx.de;FR-21-482453893;10.10.2021;7GZ710JEZBZR;NJ9245UYUSDM;WoW Classic Season of Mastery (SoM) Kingsfall Gold Horde&Allianz - Blitzversand;3;42;126;24;150
Caicedo;Dirk;Thomas-MÅntzer-Stra·e;1;72555;Metzingen;Deutschland;Dirk.Caicedo@gmx.de;FR-21-979291925;08.09.2021;2NL822EGJPDP;PC6948OPDOOF;Call of Duty: Vanguard| PC | DE/MULTI [Battle.net] No Key/Code;1;67;67;13;80
Eble;Hugo;Erich-Thilo-Stra·e;2;72144;Du·lingen;Deutschland;Hugo.Eble@gmx.de;FR-21-555215099;29.11.2021;8EI199MRPMLN;TQ8339CCTIBU;Red Dead Redemption 2 | PC | Digital Download | INSTANT [GLOBAL];1;34;34;6;40
Qorraj;Linas;BÑrdorfer Zeile;12;72474;Winterlingen;Deutschland;Linas.Qorraj@gmx.de;FR-21-635685590;13.12.2020;3CU103ARAVAE;KU8115UYVGGM;New World Gold Coins Alle EU Server DE Sofortversand Sicher Schnell;1;51;51;10;61
Maack;Christoph;Hollstra·e;48;72160;Horb am Neckar;Deutschland;Christoph.Maack@gmx.de;FR-21-835539635;05.05.2021;5UE109DZUKKZ;UC4368QUWRVH;WoW Classic Season of Mastery (SoM) Dreadnaught Gold Horde&Allianz Blitzversand!;1;76;76;14;90
Packroff;Jonathan;Baumschulenstra·e;7;72226;Simmersfeld;Deutschland;Jonathan.Packroff@gmx.de;FR-21-820770679;25.01.2021;0RA976DRCCEY;IC2570BPQWCJ;Grand Theft Auto V Premium Edition |PC| Digital Download| INSTANT [GLOBAL]|GTA 5;1;84;84;16;100
Jacksteit;Vidu;KGA Holunderbusch;98;72417;Jungingen;Deutschland;Vidu.Jacksteit@gmx.de;FR-21-959089541;21.11.2021;7AB311GYKXEZ;CF1079ZADJNK;Diablo 2 Resurrected  Infinity d2r Unendlichkeit  eth Drescher PC SC ber;1;5;5;1;6
Dada;Ivette;Ekkehardstra·e;28;69181;Leimen (Baden);Deutschland;Ivette.Dada@gmx.de;FR-21-110494605;29.06.2021;0JO387SSKRHV;QM9935LCWQQK;League of Legends Account EUW 50.000+ BE Lol Smurf Lvl 30+ UNVERIFIED Unranked;1;59;59;11;70
Kabus;Bianca;Rosenweg;29;68809;Neulu·heim;Deutschland;Bianca.Kabus@gmx.de;FR-21-906490707;30.05.2021;7NE92AXTISH;YP7124AYXQET;Horizon: Zero Dawn (Complete Edition) [PC-Download | STEAM | KEY];1;34;34;6;40
Haarmeyer;Raina;Platz der Befreiung;9;68723;Schwetzingen;Deutschland;Raina.Haarmeyer@gmx.de;FR-21-564436527;09.07.2021;2UK936DVJNBG;ED9771GCAKGD;Diablo 2 Resurrected - Runes - 31# -Jah;1;13;13;3;16
Babel;Ebba;Bergaustra·e;98;71679;Asperg;Deutschland;Ebba.Babel@gmx.de;FR-21-587167293;30.07.2021;5HL649FRHAMA;NA7947SYOXEH;Cyberpunk 2077 Key - GOG PC Spiel Digital Donwload Code - DE/EU;1;8;8;2;10
DÑhne;Jaqueline;Florian-Geyer-Stra·e;4;69254;Malsch bei Wiesloch;Deutschland;Jaqueline.DÑhne@gmx.de;FR-21-520018232;13.01.2021;6PU924TDHXEA;QT4144HJLTOG;Metin2 Germania - 15 Won (1.5kkk Yang) - Blitz«¨bergabe É?≠ 100% sicher –??ç;1;3;3;1;4
Gaal;Ian;Frauenlobstra·e;58;72213;Altensteig;Deutschland;Ian.Gaal@gmx.de;FR-21-259802283;17.05.2021;9MD159WGCDSM;XG2156JXLSGK;Farming Simulator 22 | PC | STEAM | DE/MULTI | Key / Code | INSTANT;1;3;3;1;4
Maag;Cedrik;Kîpenicker Stra·e;9;72172;Sulz am Neckar;Deutschland;Cedrik.Maag@gmx.de;FR-21-421560130;20.09.2021;0IC262FAUIVL;HA4039HKHEUQ;Pet Simulator X Rainbow Galaxy Fox;2;84;168;32;200
Gaby;Kaarle;Hoffmannstra·e;28;72419;Neufra;Deutschland;Kaarle.Gaby@gmx.de;FR-21-214657656;06.01.2021;0MJ121HSFFFQ;IQ8819DLGDHS;Pet Simulator X 100M Diamonds (100.000.000) -sofortige Lieferung!;1;168;168;32;200
Labrenz;Linus;Arndtstra·e;9;71540;Murrhardt;Deutschland;Linus.Labrenz@gmx.de;FR-21-898056674;23.01.2021;8FG468YJYBJG;TJ4901THHPKA;Star Citizen 1.000.000 aUEC;1;3;3;1;4
Laake;Luzia;Dornbrunner Stra·e;61;71131;Jettingen;Deutschland;Luzia.Laake@gmx.de;FR-21-746653510;12.11.2021;2LO686BRFGBA;IT2815IWGEZP;Escape From Tarkov 10.000.000 Rubel Roubles Patch 0.12.11 EFT 10M 10 Mio 10 Mil.;2;84;168;32;200
Kaaden;Maya;Friedenstra·e;48;72636;Frickenhausen (WÅrttemberg);Deutschland;Maya.Kaaden@gmx.de;FR-21-67908069;12.04.2021;9LU176RBBDPU;QL6277GESXUH;BPM: BULLETS PER MINUTE GAME! STEAM! KEY NEU REINSCHAUEN;1;1;1;0;1
Lachmuth;Baldur;Lohnauer Steig;45;71729;Erdmannhausen;Deutschland;Baldur.Lachmuth@gmx.de;FR-21-844945531;18.09.2021;5UQ851UVFBHM;QS9660YYBXGV;Diablo 2 Resurrected - Spinnenmonsternetz - Arach - Arachnid Mesh - Softcore PC;1;67;67;13;80
Lacheta;Allessandro;Hackenbergstra·e;1;71711;Steinheim an der Murr;Deutschland;Allessandro.Lacheta@gmx.de;FR-21-457277568;05.11.2021;1HC486TLKSXE;HH5278ZWSVTH;Diablo 2 Resurrected - D2R - [EU/SC/PC] - H«œnde Auflegen / Laying of Hands;2;303;605;115;720
Ickstadt;Olivier;Moissistra·e;25;71579;Spiegelberg;Deutschland;Olivier.Ickstadt@gmx.de;FR-21-60075726;22.07.2021;7RM528RMEEDD;AG9620QOPSNZ;Microsoft Flight Simulator Premium Game of the Year 2020 Xbox Series X|S PC Key;2;42;84;16;100
Qelaj;Leon;Husstra·e;15;72417;Jungingen;Deutschland;Leon.Qelaj@gmx.de;FR-21-491988867;28.02.2021;7LL906PYSBXV;CF2841NTUVPH;Star Citizen 555000 aUEC - Alpha UEC Credit 3.15.1 Live;2;3;7;1;8
Calabrese;Fabian;Stienitzseestra·e;48;72658;Bempflingen;Deutschland;Fabian.Calabrese@gmx.de;FR-21-34682998;09.01.2021;4LJ893BRTNFE;EV8382HWRBYP;Diablo 2 Resurrected D2R unid vernichtikus. unid Annihilus - PC/SC-US/EU/ASIA;1;13;13;3;16
Eaton;Lucy;Eigenheimgasse;62;71139;Ehningen;Deutschland;Lucy.Eaton@gmx.de;FR-21-685979489;28.04.2021;2SU174ILVPNB;WA2411VXZJWK;200 x Exalted Orb - Scourge League Softcore PC Path of Exile PoE- Blitzlieferung;1;303;303;57;360
Icli;Onur;Walther-Nernst-Stra·e;48;71679;Asperg;Deutschland;Onur.Icli@gmx.de;FR-21-800296859;31.10.2021;6OV170HLTUNQ;CR1335OFEWTI;NEW WORLD - 10.000 GOLD (Taler) - ALLE SERVER *Sofortlieferung* ;1;28;28;5;33
Ebigt;Hendrik;Zinsgutstra·e;3;72131;Ofterdingen;Deutschland;Hendrik.Ebigt@gmx.de;FR-21-320797899;08.11.2021;0OF608LTCUQK;MT879RKZFXO;Forza Horizon 5 Premium XBOX ONE /Xbox Series X|S / PC Key;1;17;17;3;20
Gabbert;Jan;Baumschulenstra·e;12;72250;Freudenstadt;Deutschland;Jan.Gabbert@gmx.de;FR-21-393312367;21.01.2021;3ZR214DRCHTJ;PI1009IVUEJL;ARK: Survival Evolved  | PC | Digital Download | INSTANT [GLOBAL]| NEU;1;3;3;1;4
Calame;Fabia;Zinsgutstra·e;26;72666;Neckartailfingen;Deutschland;Fabia.Calame@gmx.de;FR-21-488455202;08.03.2021;5NS248CUYAUL;JV7769LGHBBQ;Call of Duty Black Ops Cold War| PC |Digital Download| INSTANT [GLOBAL] CoD;1;2;2;0;2
Baaz;Djamila;Magnusstra·e;6;71549;Auenwald;Deutschland;Djamila.Baaz@gmx.de;FR-21-946851062;18.10.2021;7MK837EYMWNS;KE6492LUHPCW;Token of Absolution | Zeichen | Reset Token Diablo 2 Resurrected [PC] EU/NA/Asia;3;84;252;48;300
Oberlechner;Liz;Freystadter Weg;3;72411;Bodelshausen;Deutschland;Liz.Oberlechner@gmx.de;FR-21-39095083;04.02.2021;9QA361LZZBSY;HC4164QDICZC;100 x Exalted Orb - Scourge League Softcore PC Path of Exile PoE- Blitzlieferung;1;51;51;10;61
Cakolli;Fabrizius;Seidenbaustra·e;14;72655;Altdorf bei NÅrtingen;Deutschland;Fabrizius.Cakolli@gmx.de;FR-21-480045146;26.06.2021;6ZJ354FKMLOH;CO3969WKOHIO;PC Spiele + Filme;1;3;3;1;4
Maasch;Daniel;Handjerystra·e;12;72213;Altensteig;Deutschland;Daniel.Maasch@gmx.de;FR-21-845926423;05.01.2021;3HZ576GAXUQU;KQ7816JZWJYL;É?¨ã˜èSWTOR Star Wars Adventsbasar Tulak Hord EU É?¨ã˜è;1;25;25;5;30
Idinger;Patrick;Hollstra·e;9;71723;Gro·bottwar;Deutschland;Patrick.Idinger@gmx.de;FR-21-258343591;12.11.2021;5NW817BARASA;XI5062MYRNWZ;Escape From Tarkov 5.000.000 Rubel Roubles Patch 0.12.11 EFT 5M 5 Mio. 5 Mil.;1;4;4;1;5
Kabelka;Aamenah;Gemeinschaftsstra·e;6;68723;Oftersheim;Deutschland;Aamenah.Kabelka@gmx.de;FR-21-915803895;20.09.2021;8HV913MVGRHK;UJ218ETTXTK;Forza Horizon 5 auf IHR Steam Account (KEIN EXTRA Account!) - Deutscher Service;1;420;420;80;500
Machnik;Hanna;KGA Einigkeit II;2;72532;Gomadingen;Deutschland;Hanna.Machnik@gmx.de;FR-21-503550306;15.03.2021;6EU694ELEJBG;XR9222DMCYJB;SWTOR Hyperkiste: Ultimatives Kartelpaket Server: Tulak Hord EU;1;2;2;0;2
Gaens;Nadine;Walther-Nernst-Stra·e;84;72587;Rîmerstein;Deutschland;Nadine.Gaens@gmx.de;FR-21-558485540;01.06.2021;7LJ542HEOUCH;XE1113WICSGG;AGE OF EMPIRES IV 4 KEIN STEAM KEY CODE SERIAL PC STANDARD EDITION AGE4 DIGITAL;1;3;3;1;4
Kabatek;Abigail;Walther-Nernst-Stra·e;3;68526;Ladenburg;Deutschland;Abigail.Kabatek@gmx.de;FR-21-224495886;11.04.2021;7CQ527VKDJEX;BQ6768NYINEB;PROJECT WINGMAN GAME! STEAM! KEY NEU REINSCHAUEN;1;42;42;8;50
Oberhollenzer;Laura;Glienicker Weg;3;72364;Obernheim;Deutschland;Laura.Oberhollenzer@gmx.de;FR-21-191456482;05.07.2021;3DJ543LFDIBL;JB147GUZJOK;Metin2 Germania 10 Won - Schnell und G«¨nstig!;1;5;5;1;6
Eber;Marianne;Rosenweg;51;71540;Murrhardt;Deutschland;Marianne.Eber@gmx.de;FR-21-753097552;26.09.2021;3PT970IJQKTW;OC4477JQUEYL;Anno 1800 - PC (NEU & OVP!);1;3;3;0;3
Abadi;Emely;Bohrauer Pfad;6;68723;Oftersheim;Deutschland;Emely.Abadi@gmx.de;FR-21-271977201;09.09.2021;7FI455VDTKVJ;FR8861LVOQQL;Total War Empire Napoleon Game of the Year inkl. allen DLCs PC DVD-ROM ;1;28;28;5;33
Macher;Fritzi;Erich-Thilo-Stra·e;7;72505;Krauchenwies;Deutschland;Fritzi.Macher@gmx.de;FR-21-705665071;24.02.2021;3KY314YNHFIQ;LJ581JAMQHS;–??æDIABLO 2 RESURRECTED D2R–??æ All Runes / Alle Runen / High Runes HR É??PC PS4 PS5É??;2;42;84;16;100
Maahs;Camern;Moissistra·e;58;72175;Dornhan;Deutschland;Camern.Maahs@gmx.de;FR-21-370455762;30.12.2020;9BS354XNSRAT;QR3016ANVJFK;Das gro«?e Big Fish Wimmelbild Paket 21 f«¨r PC | 10 x VOLLVERSIONEN | NEUWARE |;1;42;42;8;50
Lacker;Bastian;Friedlander Stra·e;36;72141;WalddorfhÑslach;Deutschland;Bastian.Lacker@gmx.de;FR-21-83006172;10.02.2021;0KH211PWLJXE;DS5590OGILBN;New World mit Steam Account - Sofort Lieferbar und Deutscher Service;1;67;67;13;80
Ebeler;Linda;Freystadter Weg;25;71282;Hemmingen (WÅrttemberg);Deutschland;Linda.Ebeler@gmx.de;FR-21-711287508;22.12.2020;3CB964IORLIV;RD5722ONFLEW;Annihilus small charm Diablo 2 Resurrected Softcore;2;3;5;1;6
Jacimovic;Todd;Erich-Thilo-Stra·e;6;72355;Schîmberg (Zollernalbkreis);Deutschland;Todd.Jacimovic@gmx.de;FR-21-412367489;05.02.2021;4SL129VIZUOB;AH6377TGPZHQ;Pet Simulator X Rainbow Alien Parasite;1;42;42;8;50
Kadam;Celine;Platz der Befreiung;3;69254;Malsch bei Wiesloch;Deutschland;Celine.Kadam@gmx.de;FR-21-215153959;06.07.2021;2TH323UHIHUQ;JC4838EXMYFQ;Forza Motorsport 7 (PC/Xbox One) [Download | Xbox Live | KEY];1;2;2;0;2
Ickes;Oscar;Helbigstra·e;5;71573;Allmersbach im Tal;Deutschland;Oscar.Ickes@gmx.de;FR-21-99610197;29.12.2020;5LY879SKPULO;AY1383QQCMBP;Tal Rasha's Armor Guardianship Diablo 2 Resurrected D2R Sorceress Sorc Arm Tal's;1;8;8;2;10
Obendorfer;Joana;Adlergestell;23;72663;Gro·bettlingen;Deutschland;Joana.Obendorfer@gmx.de;FR-21-555853268;05.02.2021;2IL311MRBQIU;FL4132BXJSND;Crysis Remastered TRILOGY | PC | Epic Games | DE/MULTI | No Key / Code | INSTANT;1;2;2;0;2
Daether;Kiki;Genossenschaftsstra·e;1;71083;Herrenberg;Deutschland;Kiki.Daether@gmx.de;FR-21-127925841;08.11.2021;2HR795CSKPZH;SD6622DSHCHY;Diablo 2 Resurrected  D2R Softcore Tal Rashas Rasha Full Set  Xbox / Pc;2;3;7;1;8
Jaax;Samuel;Am Studio;48;72181;Starzach;Deutschland;Samuel.Jaax@gmx.de;FR-21-441718146;08.06.2021;6LV733UIPYTG;GY3711PMVYET;Das gro«?e Big Fish Wimmelbild Paket 22 f«¨r PC | 10 x VOLLVERSIONEN | NEUWARE |;1;42;42;8;50
Jacobeit;Will;Berberitzenweg;27;72475;Bitz;Deutschland;Will.Jacobeit@gmx.de;FR-21-519216292;30.03.2021;6HG316GRXUNU;TF3393VPIXFZ;Das gro«?e Big Fish Wimmelbild Paket 20 f«¨r PC | 10 x VOLLVERSIONEN | NEUWARE |;1;25;25;5;30
Maas;Cyranus;Gemeinschaftsstra·e;2;72189;Vîhringen (WÅrttemberg);Deutschland;Cyranus.Maas@gmx.de;FR-21-379075501;28.09.2021;1QD467GQYHNK;TZ5306FQTVLY;Das gro«?e Big Fish Wimmelbild Paket 19 f«¨r PC | 10 x VOLLVERSIONEN | NEUWARE |;1;59;59;11;70
Cagdas;Darius;Walther-Nernst-Stra·e;6;72517;Sigmaringendorf;Deutschland;Darius.Cagdas@gmx.de;FR-21-624113689;30.10.2021;7HQ24EAFDGH;PW3805PHORGQ;Pet Simulator X Rainbow Grim Reaper x10 + 5M Gems;1;42;42;8;50
Jacko;Volker;Ernststra·e;9;72393;Burladingen;Deutschland;Volker.Jacko@gmx.de;FR-21-167360459;20.09.2021;7VJ939JQAGFP;ON432HGQBNF;BLACK AND WHITE 1 KOMPLETT DEUTSCH Neuwertig;2;3;5;1;6
Pacha;Hannes;Silberberger Stra·e;6;72589;Westerheim (WÅrttemberg);Deutschland;Hannes.Pacha@gmx.de;FR-21-412645804;23.12.2020;6ZV774NXWMDU;FX9606GEORMJ;Forza Horizon 5 Unlock All / Booster f«¨r Éù?ALLESÉù? Xbox / PC Éù?Beschreibung LesenÉù?;3;3;9;2;11
Abassi;Frieda;Gellertstra·e;4;68766;Hockenheim;Deutschland;Frieda.Abassi@gmx.de;FR-21-222528989;11.02.2021;2FA113UGOQHW;XJ6570LPTUVW;WoW-Shadowlands Gold Eredar Horde 250.000;1;3;3;1;4
Jackson;Volker;Hallberger Zeile;28;72414;Rangendingen;Deutschland;Volker.Jackson@gmx.de;FR-21-57844706;15.05.2021;2TH245YYWMHO;EQ1463SXYUHP;Tal Rashas Urteil Amu | Tal Rasha's Adjunction Amu Diablo 2 Resurrected EU/NA PC;1;3;3;1;4
Padovani;Jaakov;HÑnselstra·e;95;72358;Dormettingen;Deutschland;Jaakov.Padovani@gmx.de;FR-21-565297630;16.08.2021;6PW786NTXIEQ;OV1822ZZXBUD;Landwirtschafts-Simulator 22 Collectors Edition - PC (NEU & OVP!);1;42;42;8;50
Ebeling;Laureen;Friedlander Stra·e;6;71287;Weissach;Deutschland;Laureen.Ebeling@gmx.de;FR-21-337469792;19.08.2021;8PP909VHJMFM;LW6648AHIYVQ;Hitman III 3 | PC | Epic Games | DE/MULTI | No Key / Code | INSTANT;1;2;2;0;2
Ibler;Marlon;Gellertstra·e;8;71296;Heimsheim;Deutschland;Marlon.Ibler@gmx.de;FR-21-470646632;09.06.2021;6SG258IKAXRC;QV2393BNVKHN;Tony Hawk's Pro Skater 3 (PC. 2002. DVD-Box);1;143;143;27;170
Ebel;Luna;Eigenheimgasse;23;71277;Rutesheim;Deutschland;Luna.Ebel@gmx.de;FR-21-789349477;25.04.2021;8HP618GJTKDH;PC8959QGCAMJ;[VPN Aktiv] Dolby Atmos for Headphones Key - Xbox One / Win 10 PC Download Code;1;8;8;2;10
Machunze;Iara;Berberitzenweg;48;72587;Rîmerstein;Deutschland;Iara.Machunze@gmx.de;FR-21-906128497;21.01.2021;9IB172WFZQDJ;SI8090LDKMPN;Pet Simulator X Dark Matter Ghoul Horse Zuf«œllig Verzauberungen;1;5;5;1;6
Cabrera;Christoph;Walther-Nernst-Stra·e;1;72475;Bitz;Deutschland;Christoph.Cabrera@gmx.de;FR-21-69595329;10.01.2021;6WQ0RLDDZT;XB4293TSDYAH;Star Citizen MISC Odyssey - LTI CCU Ship;2;5;10;2;12
Kaap;Berenike;Hauptweg;47;72654;Neckartenzlingen;Deutschland;Berenike.Kaap@gmx.de;FR-21-473166861;06.09.2021;1HS880PRNRWF;EM1604IBCAVA;10x APEX Legends Promo Codes Monster Energy Token Battle Pass Levels In-Game;2;3;7;1;8
Oberhauser;Leonie;Eigenheimgasse;48;72358;Dormettingen;Deutschland;Leonie.Oberhauser@gmx.de;FR-21-207405309;06.05.2021;0NT947EHWGLD;BS4173ERGBPZ;WOW TBC CLASSIC - EVERLOOK - 1000 GOLD - Horde/Allianz *Sofortlieferung*;1;17;17;3;20
Ibraimi;Niklas;Neltestra·e;51;71404;Korb;Deutschland;Niklas.Ibraimi@gmx.de;FR-21-716359387;06.04.2021;4LL956XQETOL;XM1006HOEHRV;20 x Exalted Orb - Scourge League Softcore PC Path of Exile PoE- Blitzlieferung;1;303;303;57;360
Haas;Rabi;Seidenbaustra·e;51;68775;Ketsch;Deutschland;Rabi.Haas@gmx.de;FR-21-238811007;08.01.2021;3PA9SCNEVC;LS9948ZJEDPR;Jurassic World Evolution 2 Deluxe - PC STEAM [Deutsch / Blitzversand / Kein Key];1;5;5;1;6
Caduff;Carl;Handjerystra·e;5;72510;Stetten am kalten Markt;Deutschland;Carl.Caduff@gmx.de;FR-21-901727907;02.05.2021;7QG532EKPJXV;GN5867RJXFAW;Diablo 2 PC Resurrected D2R [SC/HC] EU/NA : Zeichen / Token of Absolution;1;2;2;0;2
Labes;Tim;Heidekampweg;65;71384;Weinstadt;Deutschland;Tim.Labes@gmx.de;FR-21-62196975;22.03.2021;0GF390IVJQMC;SC3926CMLYDY;Diablo 2 Resurrected Tal Rasha Full Set. Zauberin. Sorc D2r. PC. Switch.Armor;2;4;8;1;9
Gadde;Luca;Gellertstra·e;26;72501;Gammertingen;Deutschland;Luca.Gadde@gmx.de;FR-21-193787393;10.09.2021;2MV480CRDRIB;FX2469EPUFLE;Verdungos Herzensband Verdungos Hearty Cord Diablo2 Resurrected D2R EU SC PC;1;42;42;8;50
Lackerbauer;Caleb;Gemeinschaftsstra·e;14;72144;Du·lingen;Deutschland;Caleb.Lackerbauer@gmx.de;FR-21-391544303;17.06.2021;8XQ614BLHQJZ;UX1597MJAQHF;Marvel's Guardians of the Galaxy PC Game Code Spiel Key;2;84;168;32;200
Laban;Luis;Dammweg;1;71282;Hemmingen (WÅrttemberg);Deutschland;Luis.Laban@gmx.de;FR-21-366060065;02.07.2021;8AQ16TSIMSD;VW8612URDEIR;[VPN Aktiv] Forza Horizon 5 Premium Edition - Xbox & Windows 10 - Download Code;1;14;14;3;17
Oberndorfer;Fady;Thomas-MÅntzer-Stra·e;62;72517;Sigmaringendorf;Deutschland;Fady.Oberndorfer@gmx.de;FR-21-197871856;10.11.2021;7YG15IMTAGQ;OX6067GTRCHN;Planet Zoo (Deluxe Edition) [PC-Download | STEAM | KEY];2;42;84;16;100
Haberhauer;Ulrike;Eichbuschallee;84;69502;Hemsbach (Bergstra·e);Deutschland;Ulrike.Haberhauer@gmx.de;FR-21-907396062;27.03.2021;1RI913TJZGYO;NP4783DDYQRA;Landwirtschafts-Simulator 22 - CollectorÉ??s Edition - PC - Neu & OVP - EU Version;1;3;3;0;3
Kaczmarek;Charlotte;Am Studio;8;69242;MÅhlhausen (Kraichgau);Deutschland;Charlotte.Kaczmarek@gmx.de;FR-21-891860336;28.02.2021;4KJ134NEQIMQ;RM2946XNXQNA;Microsoft Flight Simulator X - Professional Edition (PC. 2006) - wie neu;1;13;13;3;16
Eberl;Fady;WÅnschelburger Gang;98;71573;Allmersbach im Tal;Deutschland;Fady.Eberl@gmx.de;FR-21-572495265;12.08.2021;3CO58JFOYLC;WD648KCVLRK;NEW WORLD GOLD - 10.000 Gold Alle EU Server;1;101;101;19;120
Labonte;Quirin;Abtstra·e;1;71409;Schwaikheim;Deutschland;Quirin.Labonte@gmx.de;FR-21-574194116;18.03.2021;8NA18VKNISK;JB5875OHBJFO;Diablo 2 PC (Softcore/Hardcore): Ohrenkette G«¨rtel / String of Ears Belt;2;28;55;11;66
Habegger;Sabine;Bergaustra·e;1;69242;MÅhlhausen (Kraichgau);Deutschland;Sabine.Habegger@gmx.de;FR-21-931187788;23.04.2021;7TX799GRHNBC;RQ8699KUUUWS;ARK Survival Evolved Steam No Key Download Game [DE] [EU] PC;1;42;42;8;50
Laatz;Philipp;Baumschulenstra·e;6;71263;Weil der Stadt;Deutschland;Philipp.Laatz@gmx.de;FR-21-294131257;21.03.2021;8XJ827LNYAOZ;IB3280RHMXNE;Die Sims 1 Set Hauptspiel + Alle Erweiterungen - Deutsche Versionen ! ;1;2;2;0;2
Ibili;Zoe;Neltestra·e;84;71277;Rutesheim;Deutschland;Zoe.Ibili@gmx.de;FR-21-81948732;14.07.2021;4YC978KGRLCM;SC6200TQBWLW;Beliebteste Spiele und Klassiker f«¨r Playstation 4 / PS4 (USK18);1;3;3;1;4
Ebing;Heiko;Carl-Scheele-Stra·e;6;72135;Dettenhausen;Deutschland;Heiko.Ebing@gmx.de;FR-21-23959280;14.09.2021;1NL788GIHZRY;DM703XGMERD;Minecraft Premium Xbox One/S/X Starter [Xbox]][H«œndler] Blitz-Versand É?≠É?≠;1;3;3;1;4
Kade;Daphne;Stienitzseestra·e;8;69429;Waldbrunn (Odenwald);Deutschland;Daphne.Kade@gmx.de;FR-21-378071254;06.07.2021;3KY915ULJXMD;CE8748KSDLAK;Genshin Impact Eu Ar 53 Raiden Mona Keqing Hu Tao Jean and more 5 star Weapon;2;5;10;2;12
Ebner;Hagar;Am Adlergestell;1;72149;Neustetten;Deutschland;Hagar.Ebner@gmx.de;FR-21-345180090;06.09.2021;4KF351IZTZJX;YK6986TBJDWI;Diablo 2 [D2R] PC (SOFTCORE) - [SC]: Windmacht - Hydrabogen | Windforce Hydrabow;1;3;3;0;3
Eberle;Fritz;Dîrpfeldstra·e;65;71576;Burgstetten;Deutschland;Fritz.Eberle@gmx.de;FR-21-1716985;17.09.2021;4WK67AJLAXH;XB6188UPVMMJ;Dead by Daylight Unlock All (Beschreibung lesen !!);1;17;17;3;20
