Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Bestell_Datum,Rechnungs_Liefer_Datum,n,VK ohne Ust,VK mit Ust,VK Gesamt,Stückpreis mit Ust,Stückpreis ohne Ust,Ust. % Satz,ZS Produkt,Zs ohne Ust,Gesamt Ust. Betrag
Emely,Abadi,Bohrauer Pfad,6,68723,Oftersheim,Germany,05 February 2019,08 February 2019,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Fritzi,Macher,Erich-Thilo-Straße,7,72505,Krauchenwies,Germany,06 February 2019,09 February 2019,2,6.43,7.6517,7.6517,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Camern,Maahs,Moissistraße,58,72175,Dornhan,Germany,07 February 2019,10 February 2019,1,1.63,1.9397,1.9397,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Bastian,Lacker,Friedlander Straße,36,72141,Walddorfhäslach,Germany,08 February 2019,11 February 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Linda,Ebeler,Freystadter Weg,25,71282,Hemmingen (Württemberg),Germany,09 February 2019,12 February 2019,2,0.0,0.0,0.0,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Todd,Jacimovic,Erich-Thilo-Straße,6,72355,Schömberg (Zollernalbkreis),Germany,10 February 2019,13 February 2019,1,1.35,1.6065,1.6065,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Celine,Kadam,Platz der Befreiung,3,69254,Malsch bei Wiesloch,Germany,11 February 2019,14 February 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Oscar,Ickes,Helbigstraße,5,71573,Allmersbach im Tal,Germany,12 February 2019,15 February 2019,1,0.0,0.0,0.0,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Joana,Obendorfer,Adlergestell,23,72663,Großbettlingen,Germany,13 February 2019,16 February 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Kiki,Daether,Genossenschaftsstraße,1,71083,Herrenberg,Germany,14 February 2019,17 February 2019,2,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Samuel,Jaax,Am Studio,48,72181,Starzach,Germany,15 February 2019,18 February 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Will,Jacobeit,Berberitzenweg,27,72475,Bitz,Germany,16 February 2019,19 February 2019,1,1.0,1.19,1.19,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Cyranus,Maas,Gemeinschaftsstraße,2,72189,Vöhringen (Württemberg),Germany,17 February 2019,20 February 2019,1,0.0,0.0,0.0,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Darius,Cagdas,Walther-Nernst-Straße,6,72517,Sigmaringendorf,Germany,18 February 2019,21 February 2019,1,1.63,1.9397,1.9397,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Volker,Jacko,Ernststraße,9,72393,Burladingen,Germany,19 February 2019,22 February 2019,2,0.0,0.0,0.0,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Hannes,Pacha,Silberberger Straße,6,72589,Westerheim (Württemberg),Germany,20 February 2019,23 February 2019,3,1.78,2.1182,2.1182,3.59,3.016806722689076,0.19,10.77,9.050420168067228,1.7195798319327729
Frieda,Abassi,Gellertstraße,4,68766,Hockenheim,Germany,21 February 2019,24 February 2019,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Volker,Jackson,Hallberger Zeile,28,72414,Rangendingen,Germany,22 February 2019,25 February 2019,1,3.99,4.7481,4.7481,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Jaakov,Padovani,Hänselstraße,95,72358,Dormettingen,Germany,23 February 2019,26 February 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Laureen,Ebeling,Friedlander Straße,6,71287,Weissach,Germany,24 February 2019,27 February 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Marlon,Ibler,Gellertstraße,8,71296,Heimsheim,Germany,25 February 2019,28 February 2019,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Luna,Ebel,Eigenheimgasse,23,71277,Rutesheim,Germany,26 February 2019,01 March 2019,1,0.0,0.0,0.0,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Iara,Machunze,Berberitzenweg,48,72587,Römerstein,Germany,27 February 2019,02 March 2019,1,2.56,3.0464,3.0464,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Christoph,Cabrera,Walther-Nernst-Straße,1,72475,Bitz,Germany,28 February 2019,03 March 2019,2,0.0,0.0,0.0,5.99,5.033613445378152,0.19,11.98,10.067226890756304,1.9127731092436964
Berenike,Kaap,Hauptweg,47,72654,Neckartenzlingen,Germany,01 March 2019,04 March 2019,2,1.99,2.3681,2.3681,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Leonie,Oberhauser,Eigenheimgasse,48,72358,Dormettingen,Germany,02 March 2019,05 March 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Niklas,Ibraimi,Neltestraße,51,71404,Korb,Germany,03 March 2019,06 March 2019,1,0.0,0.0,0.0,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Rabi,Haas,Seidenbaustraße,51,68775,Ketsch,Germany,04 March 2019,07 March 2019,1,2.4,2.856,2.856,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Carl,Caduff,Handjerystraße,5,72510,Stetten am kalten Markt,Germany,05 March 2019,08 March 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Tim,Labes,Heidekampweg,65,71384,Weinstadt,Germany,06 March 2019,09 March 2019,2,1.99,2.3681,2.3681,4.69,3.941176470588236,0.19,9.38,7.882352941176472,1.4976470588235289
Luca,Gadde,Gellertstraße,26,72501,Gammertingen,Germany,07 March 2019,10 March 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Caleb,Lackerbauer,Gemeinschaftsstraße,14,72144,Dußlingen,Germany,08 March 2019,11 March 2019,2,0.0,0.0,0.0,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Luis,Laban,Dammweg,1,71282,Hemmingen (Württemberg),Germany,09 March 2019,12 March 2019,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Fady,Oberndorfer,Thomas-Müntzer-Straße,62,72517,Sigmaringendorf,Germany,10 March 2019,13 March 2019,2,0.0,0.0,0.0,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Ulrike,Haberhauer,Eichbuschallee,84,69502,Hemsbach (Bergstraße),Germany,11 March 2019,14 March 2019,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Charlotte,Kaczmarek,Am Studio,8,69242,Mühlhausen (Kraichgau),Germany,12 March 2019,15 March 2019,1,0.0,0.0,0.0,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Fady,Eberl,Wünschelburger Gang,98,71573,Allmersbach im Tal,Germany,13 March 2019,16 March 2019,1,2.55,3.0345,3.0345,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
Quirin,Labonte,Abtstraße,1,71409,Schwaikheim,Germany,14 March 2019,17 March 2019,2,1.99,2.3681,2.3681,32.99,27.722689075630257,0.19,65.98,55.44537815126051,10.53462184873949
Sabine,Habegger,Bergaustraße,1,69242,Mühlhausen (Kraichgau),Germany,15 March 2019,18 March 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Philipp,Laatz,Baumschulenstraße,6,71263,Weil der Stadt,Germany,16 March 2019,19 March 2019,1,1.54,1.8326,1.8326,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Zoe,Ibili,Neltestraße,84,71277,Rutesheim,Germany,17 March 2019,20 March 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Heiko,Ebing,Carl-Scheele-Straße,6,72135,Dettenhausen,Germany,18 March 2019,21 March 2019,1,1.99,2.3681,2.3681,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Daphne,Kade,Stienitzseestraße,8,69429,Waldbrunn (Odenwald),Germany,19 March 2019,22 March 2019,2,3.99,4.7481,4.7481,5.99,5.033613445378152,0.19,11.98,10.067226890756304,1.9127731092436964
Hagar,Ebner,Am Adlergestell,1,72149,Neustetten,Germany,20 March 2019,23 March 2019,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Fritz,Eberle,Dörpfeldstraße,65,71576,Burgstetten,Germany,21 March 2019,24 March 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Enna,Laaber,Am Adlergestell,58,71101,Schönaich,Germany,22 March 2019,25 March 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Caroline,Baal,Platz der Befreiung,25,71297,Mönsheim,Germany,23 March 2019,26 March 2019,1,1.63,1.9397,1.9397,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Hauke,Pacht,Behringstraße,9,72667,Schlaitdorf,Germany,24 March 2019,27 March 2019,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Jill,Däbritz,Hänselstraße,26,69231,Rauenberg,Germany,25 March 2019,28 March 2019,2,7.56,8.9964,8.9964,32.99,27.722689075630257,0.19,65.98,55.44537815126051,10.53462184873949
Paula,Haaker,KGA Am Teltowkanal III,26,72793,Pfullingen,Germany,26 March 2019,29 March 2019,1,0.0,0.0,0.0,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Blanka,Kabuth,Schneckenburgerstraße,5,69151,Neckargemünd,Germany,27 March 2019,30 March 2019,1,1.78,2.1182,2.1182,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Otto,Idel,Gemeinschaftsstraße,3,71706,Markgröningen,Germany,28 March 2019,31 March 2019,2,1.99,2.3681,2.3681,3.59,3.016806722689076,0.19,7.18,6.033613445378151,1.1463865546218486
Batiste,Caba,Glienicker Weg,6,72414,Rangendingen,Germany,29 March 2019,01 April 2019,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Amy,Jaeckel,Königsheideweg,2,72519,Veringenstadt,Germany,30 March 2019,02 April 2019,1,0.0,0.0,0.0,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Gel,Paatz,Ernst-Lau-Straße,26,72555,Metzingen,Germany,31 March 2019,03 April 2019,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Astrid,Abdullahu,Walther-Nernst-Straße,1,69439,Zwingenberg (Baden),Germany,01 April 2019,04 April 2019,2,7.56,8.9964,8.9964,19.99,16.798319327731093,0.19,39.98,33.596638655462186,6.383361344537811
Dominique,Kader,Zinsgutstraße,36,69469,Weinheim (Bergstraße),Germany,02 April 2019,05 April 2019,1,1.99,2.3681,2.3681,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Paulina,Jähnert,Lohnauer Steig,14,72587,Römerstein,Germany,03 April 2019,06 April 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Richard,Igler,Wassermannstraße,36,72149,Neustetten,Germany,04 April 2019,07 April 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Wilma,Abdic,Friedlander Straße,8,69256,Mauer (Baden),Germany,05 April 2019,08 April 2019,1,1.99,2.3681,2.3681,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Anna,Abbasi,Neltestraße,6,68809,Neulußheim,Germany,06 April 2019,09 April 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Jodi,Oberacker,Friedenstraße,6,72793,Pfullingen,Germany,07 April 2019,10 April 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Heike,Machold,Frauenlobstraße,1,72537,Mehrstetten,Germany,08 April 2019,11 April 2019,1,1.99,2.3681,2.3681,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Felina,Machauer,Stienitzseestraße,27,72417,Jungingen,Germany,09 April 2019,12 April 2019,2,0.0,0.0,0.0,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Edda,Kaak,Genossenschaftsstraße,58,72644,Oberboihingen,Germany,10 April 2019,13 April 2019,2,1.99,2.3681,2.3681,19.99,16.798319327731093,0.19,39.98,33.596638655462186,6.383361344537811
Donald,Cain,Vogelbeerstraße,1,72574,Bad Urach,Germany,11 April 2019,14 April 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Tristan,Jachs,Magnusstraße,84,72348,Rosenfeld,Germany,12 April 2019,15 April 2019,3,1.63,1.9397,1.9397,2.99,2.512605042016807,0.19,8.97,7.537815126050421,1.4321848739495795
Caren,Kaczynski,Newtonstraße,1,69251,Gaiberg,Germany,13 April 2019,16 April 2019,1,0.0,0.0,0.0,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Jonathan,Gabelberger,Dammweg,26,72299,Wörnersberg,Germany,14 April 2019,17 April 2019,1,0.0,0.0,0.0,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Cedrik,Cabuk,Eigenheimgasse,28,72477,Schwenningen (Heuberg),Germany,15 April 2019,18 April 2019,1,0.0,0.0,0.0,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Diminic,Caglar,Radickestraße,3,72531,Hohenstein (Württemberg),Germany,16 April 2019,19 April 2019,3,1.54,1.8326,1.8326,69.99,58.81512605042017,0.19,209.97,176.44537815126048,33.524621848739486
Jaap,Packmohr,Alpenrosenweg,4,72224,Ebhausen,Germany,17 April 2019,20 April 2019,3,3.0,3.5700000000000003,3.5700000000000003,89.99,75.6218487394958,0.19,269.97,226.86554621848737,43.1044537815126
Bertram,Backe,Freystadter Weg,2,72401,Haigerloch,Germany,18 April 2019,21 April 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Magdalena,Ebenhöh,Otto-Franke-Straße,8,71409,Schwaikheim,Germany,19 April 2019,22 April 2019,1,1.0,1.19,1.19,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Friedrich,Labisch,Hänselstraße,5,71397,Leutenbach (Württemberg),Germany,20 April 2019,23 April 2019,1,1.99,2.3681,2.3681,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Kim,Däumler,Lohnauer Steig,25,71111,Waldenbuch,Germany,21 April 2019,24 April 2019,3,0.0,0.0,0.0,49.99,42.00840336134454,0.19,149.97,126.02521008403362,23.944789915966386
Milo,Gähler,Helbigstraße,2,72581,Dettingen an der Erms,Germany,22 April 2019,25 April 2019,1,0.0,0.0,0.0,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Iris,Machts,Alpenrosenweg,14,72584,Hülben,Germany,23 April 2019,26 April 2019,2,2.99,3.5581000000000005,3.5581000000000005,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Bernd,Lachnitt,Anna-Seghers-Straße,8,71737,Kirchberg an der Murr,Germany,24 April 2019,27 April 2019,1,0.0,0.0,0.0,199.99,168.05882352941177,0.19,199.99,168.05882352941177,31.93117647058824
Hakan,Pachner,Am Adlergestell,64,72663,Großbettlingen,Germany,25 April 2019,28 April 2019,2,0.0,0.0,0.0,60.99,51.25210084033614,0.19,121.98,102.50420168067228,19.475798319327723
Theresa,Abazi,Hoffmannstraße,2,68794,Oberhausen-Rheinhausen,Germany,26 April 2019,29 April 2019,2,0.0,0.0,0.0,4.69,3.941176470588236,0.19,9.38,7.882352941176472,1.4976470588235289
Tabia,Haberbosch,Kiehnwerderallee,45,69434,Heddesbach,Germany,27 April 2019,30 April 2019,1,2.33,2.7727,2.7727,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
