Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Produkt,Bestell_Nummer,ASIN_ID,Bestell_Datum,Rechnungs_Nummer,Rechnungs_Liefer_Datum,n,VK ohne Ust,VK mit Ust,VK Gesamt,Stückpreis mit Ust,Stückpreis ohne Ust,Ust. % Satz,ZS Produkt,Zs ohne Ust,Gesamt Ust. Betrag
Kaaria,Oberegger,Genossenschaftsstraße,64,72227,Egenhausen,Germany,Dimmbar LED Klemmleuchte Schreibtischlampe,123-1233577-1233577,if492jf110,27 December 2018,DE3MQ110AEUI,30 December 2018,1,1.24,1.4756,1.4756,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Yannis,Jacqueline,Forsthausallee,1,72510,Stetten am kalten Markt,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233578-1233578,if492jf111,28 December 2018,DE3MQ111AEUI,31 December 2018,3,0.0,0.0,0.0,49.99,42.00840336134454,0.19,149.97,126.02521008403362,23.944789915966386
Dirk,Caicedo,Thomas-Müntzer-Straße,1,72555,Metzingen,Germany,Philipp Plein Sport Runner Sneaker ,123-1233579-1233579,if492jf112,29 December 2018,DE3MQ112AEUI,01 January 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Hugo,Eble,Erich-Thilo-Straße,2,72144,Dußlingen,Germany,Dimmbar LED Klemmleuchte Schreibtischlampe,123-1233580-1233580,if492jf113,30 December 2018,DE3MQ113AEUI,02 January 2019,1,1.99,2.3681,2.3681,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Linas,Qorraj,Bärdorfer Zeile,12,72474,Winterlingen,Germany,Kappa Base 2 Sportschuhe Turnschuhe Sneakers,123-1233581-1233581,if492jf114,31 December 2018,DE3MQ114AEUI,03 January 2019,1,1.99,2.3681,2.3681,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Christoph,Maack,Hollstraße,48,72160,Horb am Neckar,Germany,Nike Court Borough Mid Winter Sneaker,123-1233582-1233582,if492jf115,01 January 2019,DE3MQ115AEUI,04 January 2019,1,2.1,2.499,2.499,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Jonathan,Packroff,Baumschulenstraße,7,72226,Simmersfeld,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1233583-1233583,if492jf116,02 January 2019,DE3MQ116AEUI,05 January 2019,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Vidu,Jacksteit,KGA Holunderbusch,98,72417,Jungingen,Germany,Retro LED Lampe Schreibtischlampe,123-1233584-1233584,if492jf117,03 January 2019,DE3MQ117AEUI,06 January 2019,1,4.99,5.9381,5.9381,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Ivette,Dada,Ekkehardstraße,28,69181,Leimen (Baden),Germany,Adidas Schuhe ClimaCool 2 Sneakers,123-1233585-1233585,if492jf118,04 January 2019,DE3MQ118AEUI,07 January 2019,1,1.99,2.3681,2.3681,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Bianca,Kabus,Rosenweg,29,68809,Neulußheim,Germany,Dimmbar LED Klemmleuchte Schreibtischlampe,123-1233586-1233586,if492jf119,05 January 2019,DE3MQ119AEUI,08 January 2019,1,0.0,0.0,0.0,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Raina,Haarmeyer,Platz der Befreiung,9,68723,Schwetzingen,Germany,"Playstation, Icons Light, Nachtlicht",123-1233587-1233587,if492jf120,06 January 2019,DE3MQ120AEUI,09 January 2019,1,2.99,3.5581000000000005,3.5581000000000005,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Ebba,Babel,Bergaustraße,98,71679,Asperg,Germany,LED Stern Deko Boden Lampe Weihnachte,123-1233588-1233588,if492jf121,07 January 2019,DE3MQ121AEUI,10 January 2019,1,2.99,3.5581000000000005,3.5581000000000005,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Jaqueline,Dähne,Florian-Geyer-Straße,4,69254,Malsch bei Wiesloch,Germany,Hirsch Rentier Elch Figur,123-1233589-1233589,if492jf122,08 January 2019,DE3MQ122AEUI,11 January 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Ian,Gaal,Frauenlobstraße,58,72213,Altensteig,Germany,Hirsch Rentier Elch Figur,123-1233590-1233590,if492jf123,09 January 2019,DE3MQ123AEUI,12 January 2019,1,1.01,1.2019,1.2019,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Cedrik,Maag,Köpenicker Straße,9,72172,Sulz am Neckar,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1233591-1233591,if492jf124,10 January 2019,DE3MQ124AEUI,13 January 2019,2,2.33,2.7727,2.7727,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Kaarle,Gaby,Hoffmannstraße,28,72419,Neufra,Germany,Rennrad Herren Gebraucht,123-1233592-1233592,if492jf125,11 January 2019,DE3MQ125AEUI,14 January 2019,1,0.0,0.0,0.0,199.99,168.05882352941177,0.19,199.99,168.05882352941177,31.93117647058824
Linus,Labrenz,Arndtstraße,9,71540,Murrhardt,Germany,Hirsch Rentier Elch Figur,123-1233593-1233593,if492jf126,12 January 2019,DE3MQ126AEUI,15 January 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Luzia,Laake,Dornbrunner Straße,61,71131,Jettingen,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1233594-1233594,if492jf127,13 January 2019,DE3MQ127AEUI,16 January 2019,2,1.99,2.3681,2.3681,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Maya,Kaaden,Friedenstraße,48,72636,Frickenhausen (Württemberg),Germany,Flachdichtung - WC,123-1233595-1233595,if492jf128,14 January 2019,DE3MQ128AEUI,17 January 2019,1,1.99,2.3681,2.3681,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Baldur,Lachmuth,Lohnauer Steig,45,71729,Erdmannhausen,Germany,Philipp Plein Sport Runner Sneaker ,123-1233596-1233596,if492jf129,15 January 2019,DE3MQ129AEUI,18 January 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Allessandro,Lacheta,Hackenbergstraße,1,71711,Steinheim an der Murr,Germany,Rakete Roadster Berlin - Urban Bike,123-1233597-1233597,if492jf130,16 January 2019,DE3MQ130AEUI,19 January 2019,2,0.0,0.0,0.0,359.99,302.51260504201684,0.19,719.98,605.0252100840337,114.95478991596632
Olivier,Ickstadt,Moissistraße,25,71579,Spiegelberg,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233598-1233598,if492jf131,17 January 2019,DE3MQ131AEUI,20 January 2019,2,2.6,3.0940000000000003,3.0940000000000003,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Leon,Qelaj,Husstraße,15,72417,Jungingen,Germany,Hirsch Rentier Elch Figur,123-1233599-1233599,if492jf132,18 January 2019,DE3MQ132AEUI,21 January 2019,2,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Fabian,Calabrese,Stienitzseestraße,48,72658,Bempflingen,Germany,"Playstation, Icons Light, Nachtlicht",123-1233600-1233600,if492jf133,19 January 2019,DE3MQ133AEUI,22 January 2019,1,0.0,0.0,0.0,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Lucy,Eaton,Eigenheimgasse,62,71139,Ehningen,Germany,Rakete Roadster Berlin - Urban Bike,123-1233601-1233601,if492jf134,20 January 2019,DE3MQ134AEUI,23 January 2019,1,1.63,1.9397,1.9397,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Onur,Icli,Walther-Nernst-Straße,48,71679,Asperg,Germany,Tischlampe Nachttischlampe 2er Set,123-1233602-1233602,if492jf135,21 January 2019,DE3MQ135AEUI,24 January 2019,1,2.3,2.737,2.737,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Hendrik,Ebigt,Zinsgutstraße,3,72131,Ofterdingen,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1233603-1233603,if492jf136,22 January 2019,DE3MQ136AEUI,25 January 2019,1,2.3,2.737,2.737,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Jan,Gabbert,Baumschulenstraße,12,72250,Freudenstadt,Germany,Hirsch Rentier Elch Figur,123-1233604-1233604,if492jf137,23 January 2019,DE3MQ137AEUI,26 January 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Fabia,Calame,Zinsgutstraße,26,72666,Neckartailfingen,Germany,Dichtung - Plastik,123-1233605-1233605,if492jf138,24 January 2019,DE3MQ138AEUI,27 January 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Djamila,Baaz,Magnusstraße,6,71549,Auenwald,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1233606-1233606,if492jf139,25 January 2019,DE3MQ139AEUI,28 January 2019,3,0.0,0.0,0.0,99.99,84.02521008403362,0.19,299.97,252.07563025210084,47.894369747899134
Liz,Oberlechner,Freystadter Weg,3,72411,Bodelshausen,Germany,Kappa Base 2 Sportschuhe Turnschuhe Sneakers,123-1233607-1233607,if492jf140,26 January 2019,DE3MQ140AEUI,29 January 2019,1,2.0,2.38,2.38,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Fabrizius,Cakolli,Seidenbaustraße,14,72655,Altdorf bei Nürtingen,Germany,Rost Kerze Edelrost,123-1233608-1233608,if492jf141,27 January 2019,DE3MQ141AEUI,30 January 2019,1,2.0,2.38,2.38,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Daniel,Maasch,Handjerystraße,12,72213,Altensteig,Germany,LED Unterbauleuchte Mit Bewegungsmelder,123-1233609-1233609,if492jf142,28 January 2019,DE3MQ142AEUI,31 January 2019,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Patrick,Idinger,Hollstraße,9,71723,Großbottwar,Germany,Tragbares Wiederaufladbare Buchlampe,123-1233610-1233610,if492jf143,29 January 2019,DE3MQ143AEUI,01 February 2019,1,0.0,0.0,0.0,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Aamenah,Kabelka,Gemeinschaftsstraße,6,68723,Oftersheim,Germany,26 ZOLL MOUNTAINBIKE SHIMANO 21GANG 26,123-1233611-1233611,if492jf144,30 January 2019,DE3MQ144AEUI,02 February 2019,1,0.0,0.0,0.0,499.99,420.15966386554624,0.19,499.99,420.15966386554624,79.83033613445377
Hanna,Machnik,KGA Einigkeit II,2,72532,Gomadingen,Germany,Dichtung - Plastik,123-1233612-1233612,if492jf145,31 January 2019,DE3MQ145AEUI,03 February 2019,1,1.99,2.3681,2.3681,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Nadine,Gaens,Walther-Nernst-Straße,84,72587,Römerstein,Germany,Hirsch Rentier Elch Figur,123-1233613-1233613,if492jf146,01 February 2019,DE3MQ146AEUI,04 February 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Abigail,Kabatek,Walther-Nernst-Straße,3,68526,Ladenburg,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233614-1233614,if492jf147,02 February 2019,DE3MQ147AEUI,05 February 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Laura,Oberhollenzer,Glienicker Weg,3,72364,Obernheim,Germany,Lavalampe Magma Lava Lampe Magmaleuchte,123-1233615-1233615,if492jf148,03 February 2019,DE3MQ148AEUI,06 February 2019,1,1.4,1.666,1.666,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Marianne,Eber,Rosenweg,51,71540,Murrhardt,Germany,Gummi-Dichtung,123-1233616-1233616,if492jf149,04 February 2019,DE3MQ149AEUI,07 February 2019,1,3.0,3.5700000000000003,3.5700000000000003,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Emely,Abadi,Bohrauer Pfad,6,68723,Oftersheim,Germany,Tischlampe Nachttischlampe 2er Set,123-1233617-1233617,if492jf150,05 February 2019,DE3MQ150AEUI,08 February 2019,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Fritzi,Macher,Erich-Thilo-Straße,7,72505,Krauchenwies,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233618-1233618,if492jf151,06 February 2019,DE3MQ151AEUI,09 February 2019,2,6.43,7.6517,7.6517,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Camern,Maahs,Moissistraße,58,72175,Dornhan,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233619-1233619,if492jf152,07 February 2019,DE3MQ152AEUI,10 February 2019,1,1.63,1.9397,1.9397,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Bastian,Lacker,Friedlander Straße,36,72141,Walddorfhäslach,Germany,Philipp Plein Sport Runner Sneaker ,123-1233620-1233620,if492jf153,08 February 2019,DE3MQ153AEUI,11 February 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Linda,Ebeler,Freystadter Weg,25,71282,Hemmingen (Württemberg),Germany,Gummi-Dichtung,123-1233621-1233621,if492jf154,09 February 2019,DE3MQ154AEUI,12 February 2019,2,0.0,0.0,0.0,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Todd,Jacimovic,Erich-Thilo-Straße,6,72355,Schömberg (Zollernalbkreis),Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233622-1233622,if492jf155,10 February 2019,DE3MQ155AEUI,13 February 2019,1,1.35,1.6065,1.6065,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Celine,Kadam,Platz der Befreiung,3,69254,Malsch bei Wiesloch,Germany,Dichtung - Plastik,123-1233623-1233623,if492jf156,11 February 2019,DE3MQ156AEUI,14 February 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Oscar,Ickes,Helbigstraße,5,71573,Allmersbach im Tal,Germany,LED Stern Deko Boden Lampe Weihnachte,123-1233624-1233624,if492jf157,12 February 2019,DE3MQ157AEUI,15 February 2019,1,0.0,0.0,0.0,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Joana,Obendorfer,Adlergestell,23,72663,Großbettlingen,Germany,Dichtung - Plastik,123-1233625-1233625,if492jf158,13 February 2019,DE3MQ158AEUI,16 February 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Kiki,Daether,Genossenschaftsstraße,1,71083,Herrenberg,Germany,Hirsch Rentier Elch Figur,123-1233626-1233626,if492jf159,14 February 2019,DE3MQ159AEUI,17 February 2019,2,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Samuel,Jaax,Am Studio,48,72181,Starzach,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233627-1233627,if492jf160,15 February 2019,DE3MQ160AEUI,18 February 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Will,Jacobeit,Berberitzenweg,27,72475,Bitz,Germany,LED Unterbauleuchte Mit Bewegungsmelder,123-1233628-1233628,if492jf161,16 February 2019,DE3MQ161AEUI,19 February 2019,1,1.0,1.19,1.19,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Cyranus,Maas,Gemeinschaftsstraße,2,72189,Vöhringen (Württemberg),Germany,Adidas Schuhe ClimaCool 2 Sneakers,123-1233629-1233629,if492jf162,17 February 2019,DE3MQ162AEUI,20 February 2019,1,0.0,0.0,0.0,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Darius,Cagdas,Walther-Nernst-Straße,6,72517,Sigmaringendorf,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233630-1233630,if492jf163,18 February 2019,DE3MQ163AEUI,21 February 2019,1,1.63,1.9397,1.9397,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Volker,Jacko,Ernststraße,9,72393,Burladingen,Germany,Gummi-Dichtung,123-1233631-1233631,if492jf164,19 February 2019,DE3MQ164AEUI,22 February 2019,2,0.0,0.0,0.0,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Hannes,Pacha,Silberberger Straße,6,72589,Westerheim (Württemberg),Germany,Rost Kerze Edelrost,123-1233632-1233632,if492jf165,20 February 2019,DE3MQ165AEUI,23 February 2019,3,1.78,2.1182,2.1182,3.59,3.016806722689076,0.19,10.77,9.050420168067228,1.7195798319327729
Frieda,Abassi,Gellertstraße,4,68766,Hockenheim,Germany,Rost Kerze Edelrost,123-1233633-1233633,if492jf166,21 February 2019,DE3MQ166AEUI,24 February 2019,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Volker,Jackson,Hallberger Zeile,28,72414,Rangendingen,Germany,Hirsch Rentier Elch Figur,123-1233634-1233634,if492jf167,22 February 2019,DE3MQ167AEUI,25 February 2019,1,3.99,4.7481,4.7481,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Jaakov,Padovani,Hänselstraße,95,72358,Dormettingen,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233635-1233635,if492jf168,23 February 2019,DE3MQ168AEUI,26 February 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Laureen,Ebeling,Friedlander Straße,6,71287,Weissach,Germany,Dichtung - Plastik,123-1233636-1233636,if492jf169,24 February 2019,DE3MQ169AEUI,27 February 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Marlon,Ibler,Gellertstraße,8,71296,Heimsheim,Germany,LENOVO ThinkPad X260 Intel Core i7 6. Gen 2,123-1233637-1233637,if492jf170,25 February 2019,DE3MQ170AEUI,28 February 2019,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Luna,Ebel,Eigenheimgasse,23,71277,Rutesheim,Germany,LED Stern Deko Boden Lampe Weihnachte,123-1233638-1233638,if492jf171,26 February 2019,DE3MQ171AEUI,01 March 2019,1,0.0,0.0,0.0,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Iara,Machunze,Berberitzenweg,48,72587,Römerstein,Germany,Lavalampe Magma Lava Lampe Magmaleuchte,123-1233639-1233639,if492jf172,27 February 2019,DE3MQ172AEUI,02 March 2019,1,2.56,3.0464,3.0464,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Christoph,Cabrera,Walther-Nernst-Straße,1,72475,Bitz,Germany,Retro LED Lampe Schreibtischlampe,123-1233640-1233640,if492jf173,28 February 2019,DE3MQ173AEUI,03 March 2019,2,0.0,0.0,0.0,5.99,5.033613445378152,0.19,11.98,10.067226890756304,1.9127731092436964
Berenike,Kaap,Hauptweg,47,72654,Neckartenzlingen,Germany,Hirsch Rentier Elch Figur,123-1233641-1233641,if492jf174,01 March 2019,DE3MQ174AEUI,04 March 2019,2,1.99,2.3681,2.3681,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Leonie,Oberhauser,Eigenheimgasse,48,72358,Dormettingen,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1233642-1233642,if492jf175,02 March 2019,DE3MQ175AEUI,05 March 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Niklas,Ibraimi,Neltestraße,51,71404,Korb,Germany,Rakete Roadster Berlin - Urban Bike,123-1233643-1233643,if492jf176,03 March 2019,DE3MQ176AEUI,06 March 2019,1,0.0,0.0,0.0,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Rabi,Haas,Seidenbaustraße,51,68775,Ketsch,Germany,Lavalampe Magma Lava Lampe Magmaleuchte,123-1233644-1233644,if492jf177,04 March 2019,DE3MQ177AEUI,07 March 2019,1,2.4,2.856,2.856,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Carl,Caduff,Handjerystraße,5,72510,Stetten am kalten Markt,Germany,Dichtung - Plastik,123-1233645-1233645,if492jf178,05 March 2019,DE3MQ178AEUI,08 March 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Tim,Labes,Heidekampweg,65,71384,Weinstadt,Germany,Tragbares Wiederaufladbare Buchlampe,123-1233646-1233646,if492jf179,06 March 2019,DE3MQ179AEUI,09 March 2019,2,1.99,2.3681,2.3681,4.69,3.941176470588236,0.19,9.38,7.882352941176472,1.4976470588235289
Luca,Gadde,Gellertstraße,26,72501,Gammertingen,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233647-1233647,if492jf180,07 March 2019,DE3MQ180AEUI,10 March 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Caleb,Lackerbauer,Gemeinschaftsstraße,14,72144,Dußlingen,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1233648-1233648,if492jf181,08 March 2019,DE3MQ181AEUI,11 March 2019,2,0.0,0.0,0.0,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Luis,Laban,Dammweg,1,71282,Hemmingen (Württemberg),Germany,LED Deckenleuchte Wandleuchte Fernbedienung,123-1233649-1233649,if492jf182,09 March 2019,DE3MQ182AEUI,12 March 2019,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Fady,Oberndorfer,Thomas-Müntzer-Straße,62,72517,Sigmaringendorf,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233650-1233650,if492jf183,10 March 2019,DE3MQ183AEUI,13 March 2019,2,0.0,0.0,0.0,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Ulrike,Haberhauer,Eichbuschallee,84,69502,Hemsbach (Bergstraße),Germany,Gummi-Dichtung,123-1233651-1233651,if492jf184,11 March 2019,DE3MQ184AEUI,14 March 2019,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Charlotte,Kaczmarek,Am Studio,8,69242,Mühlhausen (Kraichgau),Germany,"Playstation, Icons Light, Nachtlicht",123-1233652-1233652,if492jf185,12 March 2019,DE3MQ185AEUI,15 March 2019,1,0.0,0.0,0.0,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Fady,Eberl,Wünschelburger Gang,98,71573,Allmersbach im Tal,Germany,Herren Schuhe Turnschuhe Sneaker Airmax,123-1233653-1233653,if492jf186,13 March 2019,DE3MQ186AEUI,16 March 2019,1,2.55,3.0345,3.0345,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
Quirin,Labonte,Abtstraße,1,71409,Schwaikheim,Germany,Tischlampe Nachttischlampe 2er Set,123-1233654-1233654,if492jf187,14 March 2019,DE3MQ187AEUI,17 March 2019,2,1.99,2.3681,2.3681,32.99,27.722689075630257,0.19,65.98,55.44537815126051,10.53462184873949
Sabine,Habegger,Bergaustraße,1,69242,Mühlhausen (Kraichgau),Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233655-1233655,if492jf188,15 March 2019,DE3MQ188AEUI,18 March 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
