Name,Lastname,Street,HouseNumber,PostalCode,City,Country,HPOrderNumber,CustomerOrderNumber,CustomerOrderDate,CustomerNumber,HPUSTID,n,PNr,Product,Produkt,LSNr,DeliveryDate,PackID,SerialNr,x,s00,a,s0,s1,total,InvoiceNumber
Mattes,Saager,Freystadter Weg,12,72532,Gomadingen,Deutschland,43E888618478,ZVKN28163466,2021-07-25,283951496,DE490787592,1,923C1DL,"Apple MacBook Air 13.3"" 2020 M1/8/256GB SSD 7C GPU Silber MGN93D/A",Apple MacBook Air,48734695,2021-07-28,BHF1IF0G68,XWV78816U0,75.6218487394958,75.6218487394958,1.01,76.63184873949581,14.560051260504205,91.19190000000002,3229862
Jutta,Oberbauer,Hackenbergstraße,1,72810,Gomaringen,Deutschland,65F48722007,SUPA90973057,2021-09-07,142529202,DE162486071,1,331D2XA,Samsung NP345X Galaxy Book Go LTE 14'' 4GB 128GB Schul- & Business Notebook PC,Samsung NP345X Galaxy Book,615839731,2021-09-14,APO7EA4B94,VNZ95309M3,126.0420168067227,126.0420168067227,0.0,126.0420168067227,23.947983193277313,149.99,6424045
Ethan,Macedo,Dörpfeldstraße,6,72361,Hausen am Tann,Deutschland,20K245841738,WZIW56807004,2021-12-07,348666744,DE795154676,1,187S7NR,"Apple MacBook Air Retina 13"" (2020)",Apple MacBook Air,898655372,2021-12-07,QYF6LA6Z77,FDW91220R7,10.915966386554622,10.915966386554622,3.0,13.915966386554622,2.6440336134453784,16.560000000000002,2126672
Ronina,Haase,Silberberger Straße,65,68782,Brühl (Baden),Deutschland,30H327268818,XQLX35301675,2021-01-25,169299780,DE773547849,1,352G1KD,HP Notebook 15.6 Zoll AMD Ryzen 5 5500U @4GHz 8GB DDR4 512GB m2 SSD FullHD Win10,HP Notebook 15.6 Zoll,832383286,2021-02-03,JZC6LT9Q56,VBZ78756Q1,2.512605042016807,2.512605042016807,1.5,4.012605042016807,0.7623949579831932,4.775,838826
Lion,Gaebel,Altheider Straße,7,72519,Veringenstadt,Deutschland,35V191804148,VHBE34199393,2021-11-08,755735691,DE7167902,2,123M4EV,HP 17-cp0617ng schwarz Notebook 17.3 Zoll 8GB RAM 1TB SSD Windows 10,HP 17-cp0617ng,900740613,2021-11-09,SKL6LA7D72,IAW77879H5,3.3529411764705888,6.7058823529411775,5.99,12.695882352941178,2.412217647058824,15.108100000000002,9008652
Ari,Bachor,Hauptweg,23,72358,Dormettingen,Deutschland,58A543184926,DIEZ57710123,2020-12-17,889605474,DE517804222,1,167A1PV,"Apple MacBook Air M1 2020 13.3"" 8GB RAM 256GB SSD MGN63D/A. NEU Sonstige",Apple MacBook Air M1,673385969,2020-12-24,FKG1AA9N35,DTD79400C9,2.512605042016807,2.512605042016807,2.4,4.912605042016807,0.9333949579831934,5.846,2719856
Obbo,Idczak,Freystadter Weg,8,71691,Freiberg am Neckar,Deutschland,51B851569470,SGUH48383110,2021-12-09,66731338,DE459017271,1,312T7LT,Neues AngebotTechbite Arc Slim 13.3 Full HD Notebook mit Touchscreen,Neues AngebotTechbite Arc,181176676,2021-12-11,GZS8ON9Y4,DTO41361D8,2.512605042016807,2.512605042016807,1.99,4.502605042016807,0.8554949579831933,5.3581,7533099
Rabea,Haars,Richard-Willstätter-Straße,8,68753,Waghäusel,Deutschland,16C873686244,NHUE66826839,2021-06-29,631833752,DE290608673,2,725B3AL,HP Envy X360 15-eu0556ng 15.6Zoll Convertible Notebook Tablet 512GB 16GB Ram NEU,HP Envy X,946829390,2021-07-04,YUS5IT6R25,ARY9400F1,3.3529411764705888,6.7058823529411775,7.56,14.265882352941176,2.7105176470588237,16.976399999999998,3479291
Laura,Ebbighausen,Hollstraße,25,71229,Leonberg (Württemberg),Deutschland,26Z999608334,ZRUL43890263,2021-04-06,279863248,DE307667719,1,415J0QB,Lenovo ThinkPad X380 Yoga I7-8550U 512GB NVMe SSD 16GB RAM Windows 11 Pro,Pad X380 Yoga I7,44527867,2021-04-12,NRF2VO1B52,XGI34204A9,168.05882352941177,168.05882352941177,0.0,168.05882352941177,31.931176470588237,199.99,6410486
Dewis,Caiazzo,KGA Am Teltowkanal III,2,72539,Pfronstetten,Deutschland,58E99929556,XOBA93566581,2021-11-20,643374362,DE399161782,1,473Y8WV,BESTSELLER  DELL LAPTOP LATITUDE NOTEBOOK  14.1 2.6GHz 320GB 4GB WIFI BT WIN10,BESTSELLER  DELL LAPTOP,263496852,2021-11-22,JCL1OK4I8,PQC16758I4,42.00840336134454,42.00840336134454,0.0,42.00840336134454,7.981596638655463,49.99,1800203
Marlene,Ebenberger,Köpenicker Straße,1,71384,Weinstadt,Deutschland,91O468816650,XAKM14373347,2021-03-09,216690356,DE319014281,1,643O4SA,LENOVO ThinkPad X260 Intel Core i7 6. Gen 2.60GHz 8GB 256GB SSD 12.5 Zoll FHD ,LENOVO ThinkPad X,164569140,2021-03-11,MLB2CQ8H17,EGX69025Z2,3.0168067226890756,3.0168067226890756,4.99,8.006806722689076,1.5212932773109245,9.5281,7509570
Kiki,Oberdörster,Florian-Geyer-Straße,65,72221,Haiterbach,Deutschland,65N569413034,NTVT64181146,2021-01-14,821959176,DE68415530,1,95L9YG,Notebook Lenovo IdeaPad 3 14ADA05. AMD 3020e. 4GB RAM. 128GB SSD. Windows 10 S,Notebook Lenovo IdeaPad 3,158974740,2021-01-16,SYJ0XF2N67,TEG78533L1,3.3529411764705888,3.3529411764705888,2.1,5.452941176470588,1.0360588235294117,6.489,7941744
Benita,Kacan,Selchowstraße,27,69168,Wiesloch,Deutschland,68M383201384,KAFA42539153,2021-07-07,60477703,DE713730893,1,849Q9GW,HP Laptop 15.6 - Intel 2.40 GHz - 8GB - 480GB SSD - USB 3.0 - HDMI - Win10 Prof,HP Laptop 15.6 - Intel,167820079,2021-07-07,ZRE6TP8O53,LWX32381Z3,8.394957983193278,8.394957983193278,1.7,10.094957983193277,1.9180420168067227,12.013,123231
Nova,Haack,Helbigstraße,48,72649,Wolfschlugen,Deutschland,81I580203083,EYGN24650325,2021-10-30,421487954,DE580783375,1,724G9XU,"Notebook HP 255 G8 15.6"". AMD Ryzen 5 5500U. 8GB. 512GB SSD. mit Windows 11 Upd.",Notebook HP 255 G,390794494,2021-11-04,UBQ4IN6Z58,LTD71740F7,67.21848739495798,67.21848739495798,0.0,67.21848739495798,12.771512605042016,79.99,6949904
Hanno,Pacheco,Zinsgutstraße,9,72649,Wolfschlugen,Deutschland,65Y437854006,MIOH6444149,2020-12-16,43665517,DE662090808,1,202B2PD,Neues AngebotSamsung Galaxy Book Pro 360 5G 13.3 Zoll i7 16GB 512GB SSD Win11 Mystic Silver,Neues AngebotSamsung Galaxy Book,845101894,2020-12-25,WBD8QA3M98,HYR14598K3,2.512605042016807,2.512605042016807,1.35,3.862605042016807,0.7338949579831934,4.596500000000001,8390370
Erik,Macchia,Vogelbeerstraße,2,72356,Dautmergen,Deutschland,43T379042937,TIJN99994607,2021-11-25,768928045,DE939612161,1,65J6PT,"Acer Chromebook 315 (CB315-3H-C9GC) 15.6"" Full HD . Intel Celeron N4020. 4GB",Acer Chromebook 315 (CB,851259788,2021-12-03,VXO1HA2P37,WBH46027N5,2.512605042016807,2.512605042016807,1.99,4.502605042016807,0.8554949579831933,5.3581,3847874
Hagar,Pachl,Erich-Thilo-Straße,65,72658,Bempflingen,Deutschland,67W657521002,MOCQ58240048,2021-03-26,478039906,DE520449920,1,173U1MW,Acer Chromebook 314 CB314-1H 14 Zoll Chromebook Notebook Laptop 4GB 64GB QWERTZ,Acer Chromebook 314 CB,292244406,2021-03-31,YQI0XH4H43,VMY62655C8,3.3529411764705888,3.3529411764705888,0.0,3.3529411764705888,0.6370588235294119,3.9900000000000007,9984422
Leni,Oberhofer,Friedlander Straße,8,72361,Hausen am Tann,Deutschland,36B817987539,GKZH94721055,2021-05-02,757185453,DE463193182,1,389B7GK,"Lenovo IdeaPad Duet 10.1"" 64GB Table Notebook Chromebook Laptop 4GB QWERTZ",Lenovo IdeaPad Duet,135232737,2021-05-08,XWG1PJ6M66,WSC35591F4,3.3529411764705888,3.3529411764705888,0.0,3.3529411764705888,0.6370588235294119,3.9900000000000007,2202305
Flora,Abdallah,Husstraße,98,69226,Nußloch,Deutschland,34X526810604,KJKI3892818,2021-09-10,559336467,DE110121065,1,683Y3YH,"Notebook HP 255 G8 15.6"". AMD Ryzen 5 5500U. 8GB RAM. 512GB SSD. ohne Windows","Notebook HP 255 G8 15.6"". AMD",362919417,2021-09-17,JIB9RS0D85,ZOB33979X4,25.201680672268907,25.201680672268907,0.0,25.201680672268907,4.7883193277310925,29.99,2922199
Kim,Oberender,Hauptweg,28,72250,Freudenstadt,Deutschland,1T670194382,AJOK79305003,2021-08-07,651161270,DE798133818,1,374H4IY,"15.6"" Difinity Notebook Intel Quadcore 4x2.20GHz 8GB DDR4 256GB SSD Windows 10","15.6"" Difinity Notebook Intel",188841257,2021-08-11,YDO0CJ3L39,CTV45227W8,8.394957983193278,8.394957983193278,1.54,9.934957983193279,1.887642016806723,11.822600000000001,538962
Sila,Habbel,Barbara-McClintock-Straße,26,69214,Eppelheim,Deutschland,3W48476277,MTHA41663212,2021-06-14,342788940,DE872500421,1,439W9OV,"Neues AngebotLenovo Chromebook C340 (15"") wie neu - 128GB - Mit OVP und Rechnung 06/20",Neues AngebotLenovo Chromebook C340,195013992,2021-06-16,KBF4IP9S35,XBJ81361S3,1.6722689075630253,1.6722689075630253,0.0,1.6722689075630253,0.3177310924369748,1.99,775623
Nika,Haacke,Hollstraße,9,72654,Neckartenzlingen,Deutschland,71O861338858,UYSU70054866,2021-01-11,291553628,DE924056016,1,452H6SN,ACER Chromebook C720 Intel Dualcore 4GB 16GB SSD USB 3.0 11.6 Zoll US-Tastatur ,ACER Chromebook C720 Intel,660545089,2021-01-15,VKU4YR1I23,JIL74633E5,84.02521008403362,84.02521008403362,2.0,86.02521008403362,16.344789915966388,102.37,8199292
Liam,Laborenz,Adlergestell,28,71522,Backnang,Deutschland,51X793968159,UAIM89919149,2021-06-10,961759351,DE434191402,3,66R1BG,Neues AngebotRazer Blade 15 Advanced Model 15.6 Zoll i7-10875H 2.3GHz 32GB RAM - Wie neu,Neues AngebotRazer Blade 15,293659728,2021-06-10,VXZ8QW5C11,PXH75377Q5,10.915966386554622,32.747899159663866,0.0,32.747899159663866,6.222100840336135,38.97,4077787
Kiara,Däppen,Florian-Geyer-Straße,2,69493,Hirschberg an der Bergstraße,Deutschland,27H941678286,HUCZ9282453,2021-03-13,984652979,DE299785462,1,925B5IV,"Apple MacBook Pro 13.3"" 2020 M1/16/512 GB Space Grau BTO",Apple MacBook Pro,616894947,2021-03-18,VVV6BA1P5,NUW89753C9,100.83193277310924,100.83193277310924,0.0,100.83193277310924,19.158067226890758,119.99000000000001,5455727
Josephine,Dado,Heidekampweg,5,69221,Dossenheim,Deutschland,97Z434520063,HUMN74374119,2021-04-02,740468156,DE478379556,1,10U6CK,"Apple MacBook Air 13"" 1.6GHz i5 8GB RAM 128GB SSD MJVE2D Apple FachhÃ¤ndler","Apple MacBook Air 13""",463069943,2021-04-07,VLG2OR9K66,QZJ87842V9,1.6722689075630253,1.6722689075630253,0.0,1.6722689075630253,0.3177310924369748,1.99,8191229
Harry,Ebrahimi,Chris-Gueffroy-Allee,25,72181,Starzach,Deutschland,98P97739166,ACDI73816055,2021-01-07,301178372,DE284934055,1,978V3ES,HP 255 G7 (214F1ES) 39.6cm (15.6 Zoll) Full HD Notebook 1TB+8GB Win10 AMD Laptop,F1ES) 39.6cm (15.6 Zoll) Full HD Notebook 1TB+8GB Win10 AMD Laptop,516669162,2021-01-14,TJT7SK3Z11,PVD97742O3,2.512605042016807,2.512605042016807,7.56,10.072605042016807,1.9137949579831934,11.9864,7570301
Peter,Idrizaj,Nipkowstraße,3,71735,Eberdingen,Deutschland,61G780556077,KEVL3369802,2021-10-15,108686034,DE796488205,1,956X1LH,"HP EliteBook X360 1030 G2 Convertible 13"" FHD i5-7300U 8GB DDR4 500GB SSD 4G/LTE",HP EliteBook X,373038786,2021-10-21,HHB2VW2Q37,FSU13243F4,27.722689075630257,27.722689075630257,7.56,35.28268907563026,6.70371092436975,41.98640000000001,2609952
Adam,Labuske,Husstraße,8,71577,Großerlach,Deutschland,32S352809438,PLBO24547717,2021-09-19,967752197,DE856448376,2,479O6NW,Notebook Lenovo AMD DualCore 2.6GHz - 4GB RAM DDR4 - 256GB SSD Radeon HD Grafik,AMD DualCore 2.6GHz - 4GB RAM DDR4 ,324085309,2021-09-28,TTD5JF4M90,XMT53190R6,50.411764705882355,100.82352941176471,1.01,101.83352941176472,19.348370588235298,121.18190000000001,9621378
Owen,Icöz,Eigenheimgasse,6,71686,Remseck am Neckar,Deutschland,62Y524998235,UWJK66051100,2021-10-28,393723015,DE483680411,1,257U1SQ,Neues AngebotAcer Predator Helios 300 ph317-52,Neues AngebotAcer Predator,362432679,2021-11-03,JPW0NR5L37,HYD22805D1,14.277310924369747,14.277310924369747,1.99,16.267310924369745,3.090789075630252,19.358099999999997,662022
Judith,Daeuber,Hackenbergstraße,84,71088,Holzgerlingen,Deutschland,41K150220393,PGLJ26597369,2021-02-22,869486557,DE43988009,1,802T2JY,Neues AngebotAcer Chromebook Spin 513 (neu. Garantie),Neues AngebotAcer Chromebook,168583029,2021-03-03,YPI5ZR0V51,TNN52425C2,1.6722689075630253,1.6722689075630253,0.0,1.6722689075630253,0.3177310924369748,1.99,3525597
Günter,Paas,Justus-von-Liebig-Straße,12,72535,Heroldstatt,Deutschland,99P879929238,FHYZ71471971,2021-03-15,949879053,DE70779268,1,713B0TY,"ASUS VivoBook R521UA-EJ091T / 15.6"" FHD / i3-7020U / 8GB / 512GB SSD / Win10 ",ASUS VivoBook R,743023947,2021-03-19,UTU7RT1E30,ICP59504O9,33.60504201680673,33.60504201680673,0.0,33.60504201680673,6.384957983193278,39.99000000000001,4238034
Delia,Kadel,Thelenstraße,95,69434,Heddesbach,Deutschland,37P90451330,VURR80795815,2021-04-28,903591958,DE13748385,1,932G9US,"Lenovo ThinkPad X240 12.5"" Notebook Intel i7 4600U 8GB RAM 256 GB SSD Win 10 PRO","Lenovo ThinkPad X240 12.5""",795153264,2021-05-01,OIG3ID0H61,RCD38582Q4,51.25210084033614,51.25210084033614,3.99,55.24210084033614,10.495999159663867,65.7381,9716536
Lion,Quadbeck,Hoffmannstraße,26,72510,Stetten am kalten Markt,Deutschland,75Z88925332,BDDD98391770,2021-02-11,24921813,DE889116117,1,512S2ET,Acer Ultra Gaming Notebook 17.3 i7 10510U 4.9GHz 20GB 1TB SSD Geforce MX250 DDR5,Acer Ultra Gaming,554646869,2021-02-15,VPW3VN1C59,JWZ74623O4,50.411764705882355,50.411764705882355,0.0,50.411764705882355,9.578235294117647,59.99,3984996
Jan,Packert,KGA Holunderbusch,1,72218,Wildberg (Schwarzwald),Deutschland,63D167750800,BWMD21166696,2021-10-11,696762580,DE52359810,2,958R4RM,"Lenovo IdeaPad 3 Chromebook 14IGL 82C1000RGE 14""FHD N4200 4GB/64GB eMMC ChromeOS",Lenovo IdeaPad 3 Chromebook,160736742,2021-10-12,AUK3AS1K67,DKE69708G9,126.0420168067227,252.0840336134454,1.0,253.0840336134454,48.085966386554624,301.17,4947881
Zamira,Ibishi,Friedenstraße,4,71292,Friolzheim,Deutschland,35J876007653,CETI84839771,2021-09-11,442249912,DE268457157,1,771C4EL,"HP 255 G7 15"" Notebook + D2 ALLNET- & SMS-FLAT + 15 GB LTE f. 29.99 EUR mtl",Notebook + D2 ALLNET- & SMS,302583787,2021-09-16,XDR6IJ9Z35,NED44511S7,50.411764705882355,50.411764705882355,0.0,50.411764705882355,9.578235294117647,59.99,9462980
Baldur,Bacic,Anna-Seghers-Straße,4,72367,Weilen unter den Rinnen,Deutschland,86W271685051,KRHL62959302,2021-10-12,443570496,DE250725468,1,791W7TW,HP ENVY X360 13-ay0655ng (Ryzen 7 4700U. 16 GB RAM. 1 TB SSD. AMD Radeon. Touch),HP ENVY X360 13-ay0655ng,260589044,2021-10-14,DOR9JT7L22,OYL33292I6,0.8319327731092437,0.8319327731092437,0.0,0.8319327731092437,0.1580672268907563,0.99,9197706
Andrea,Aberer,Selchowstraße,48,71144,Steinenbronn,Deutschland,7Q97169728,URWU84603912,2021-04-09,818046325,DE288589147,1,549H3EL,"Lenovo Yoga Slim 7 82A2005SGE - 14"" FHD IPS. AMD Ryzen 5 4500U. 8GB RAM. 512GB",Lenovo Yoga Slim 7,698551117,2021-04-11,IBF4CX6N86,NFT15670S2,3.3529411764705888,3.3529411764705888,0.0,3.3529411764705888,0.6370588235294119,3.9900000000000007,2776163
Alexander,Labudda,Friedenstraße,5,71554,Weissach im Tal,Deutschland,64U15816822,LYQU52523228,2021-11-13,330834066,DE889495568,1,451O4OH,HP 255 G8 Notebook 15.6 Zoll AMD Ryzen 5 5500U 8GB DDR4 512GB m.2 SSD Windows 11,HP 255 G8 Notebook,23006152,2021-11-15,FAX9FZ5U78,JIB29129L3,100.83193277310924,100.83193277310924,2.99,103.82193277310924,19.726167226890755,123.54809999999999,6039276
Nika,Ibric,Altheider Straße,65,71409,Schwaikheim,Deutschland,26X489740363,SBAW93556431,2021-03-31,823988246,DE329946067,1,763D5ZK,Acer TravelMate 4070 Nr.55 als Ersatzteil/Defekt,Acer TravelMate 4070 Nr,179114496,2021-04-03,EVJ1MJ3B78,HRZ68405Q5,75.6218487394958,75.6218487394958,0.0,75.6218487394958,14.368151260504202,89.99000000000001,4129178
Oda,Haaf,Moissistraße,62,72657,Altenriet,Deutschland,42N764795179,ZFSL78573726,2021-04-21,97723296,DE858915786,1,84V6JK,toshiba PSAA8E als Ersatzteil/Defekt Nr. 13,toshiba PSAA8E,346434161,2021-04-25,JNV8LL4H29,RBW67815E9,126.0420168067227,126.0420168067227,1.69,127.7320168067227,24.269083193277314,152.0011,6420144
Jonna,Dähnert,Friedenstraße,7,69256,Mauer (Baden),Deutschland,71T960087887,XPNU14716327,2021-01-23,56303434,DE445253870,1,880T0GS,Toshiba PS605E- 00004- GR Nr.20 als Ersatzteil/Defekt,Toshiba PS605E,733431604,2021-02-01,MSV3RU7V19,SOJ71859P4,3.941176470588236,3.941176470588236,0.0,3.941176470588236,0.7488235294117649,4.690000000000001,1827997
Fabrizia,Calcagno,Magnusstraße,2,72669,Unterensingen,Deutschland,3D80333385,AUOW45443632,2021-03-29,785733503,DE97043992,1,406I1EJ,Hyrican 8050 als Ersatzteil/Defekt Nr. 3,Hyrican 8050 als Ersatzteil,220710515,2021-04-01,YEQ0HA1N82,CZV97600M5,10.915966386554622,10.915966386554622,0.0,10.915966386554622,2.074033613445378,12.99,8026906
Justyna,Oberauer,Genossenschaftsstraße,8,72805,Lichtenstein (Württemberg),Deutschland,30A93151963,IMJH22769460,2021-04-22,780165040,DE946822000,1,526H7OW,Notebook HP AMD Ryzen5 5500 6-Kern 4GHz 16GB 1TB SSD AMD Radeon Windows 11 Pro,AMD Ryzen5 5500 6,981911042,2021-04-24,VPW7EG9H75,SPA99546U9,420.15966386554624,420.15966386554624,0.0,420.15966386554624,79.83033613445379,499.99,4071451
Luna,Oberkofler,Köpenicker Straße,9,72379,Hechingen,Deutschland,7G63353396,OTKB31487177,2021-02-02,426233977,DE824342512,1,969Y7PF,ASUS L8400 als Ersatzteil/Defekt Nr. 45,ASUS L8400 als,174355846,2021-02-11,HDY9GY0C92,SAA51883G4,10.915966386554622,10.915966386554622,5.99,16.905966386554624,3.2121336134453786,20.118100000000002,9114986
Bentje,Baacke,Justus-von-Liebig-Straße,12,71272,Renningen,Deutschland,56A571839881,DSRP40352473,2021-09-07,716932010,DE75424641,1,86L9YE,"Neues AngebotHP EliteBook 850 G7 Laptop 15.6"" Core i5-10310U Touch 475GB 16GB Garantie bis 23",Neues AngebotHP EliteBook,170964678,2021-09-15,MCU5HO9X23,AXY53767H2,5.033613445378152,5.033613445378152,0.0,5.033613445378152,0.9563865546218489,5.990000000000001,5441089
Maxim,Saal,Glienicker Weg,17,72537,Mehrstetten,Deutschland,87U727133690,PEDV86661656,2021-11-20,901088368,DE515674316,1,122P8UJ,"HP Chromebook x360 14a-ca0005ng 14"" FHD IPS Touch. Intel N4020. 4GB RAM. 64GB",HP Chromebook x360 14a-ca0005ng,855009943,2021-11-28,IZN6BD4A66,FQY3973M0,67.21848739495798,67.21848739495798,0.0,67.21848739495798,12.771512605042016,79.99,8058017
Andreas,Lacher,Genossenschaftsstraße,2,71711,Murr,Deutschland,93A4921931,SFEA90291696,2021-01-27,864073189,DE241612910,2,951P2ZE,"Neues AngebotNOTEBOOK LENOVO THINKPAD X1 CARBON G5 i5-7200U 8GB 256GB SSD 14"" FHD WIN 10 HOME",Neues AngebotNOTEBOOK LENOVO THINKPAD,8496319,2021-01-31,TVF3ZR3E33,HUK72709Y8,126.0420168067227,252.0840336134454,0.0,252.0840336134454,47.895966386554626,299.98,7708543
Kristian,Päckert,Bohrauer Pfad,25,72367,Weilen unter den Rinnen,Deutschland,69V678059810,WSXX66390829,2021-08-26,903403212,DE977171236,1,694G4CB,Neues AngebotNOTEBOOK FUJITSU LIFEBOOK U757 CORE i5-7200U 8GB 256GB SSD WLAN 4G WIN 10 PRO,NOTEBOOK FUJITSU LIFEBOOK U757 CORE i5,858818783,2021-08-30,FVG5KZ7Y39,WNW85141Z5,16.798319327731093,16.798319327731093,1.69,18.488319327731094,3.512780672268908,22.0011,6300897
Bastian,Caballero,Handjerystraße,51,72415,Grosselfingen,Deutschland,52B73288087,XGVG96347512,2021-12-08,133243509,DE537597615,1,156P1XN,"Lenovo V15 Notebook 15.6"" AMD 3020E @2.6GHz 4-16GB DDR4 256GB-2TB SSD HD Win 10",Lenovo V15 Notebook,650376299,2021-12-12,SJT6NK0L23,WOH87553V9,1.6722689075630253,1.6722689075630253,0.0,1.6722689075630253,0.3177310924369748,1.99,952800
Jean,Ober,Bärdorfer Zeile,84,72667,Schlaitdorf,Deutschland,65N526699912,VNUH2558155,2021-02-28,627819279,DE529528305,2,316Y8LA,Notebook HP AMD Ryzen 5 5500 6-Kern 4GHz 32GB 1TB SSD AMD Radeon Windows 10 Pro,Notebook HP AMD Ryzen,488119618,2021-03-02,XXW0PR2L58,IFZ38316H1,42.00840336134454,84.01680672268908,0.0,84.01680672268908,15.963193277310927,99.98,8548917
Theodor,Jablonski,Silberberger Straße,12,72226,Simmersfeld,Deutschland,35T315634160,OGVX15352665,2021-08-12,793957410,DE486071388,2,524X8RY,"MEDION Akoya E15303 15.6"" Full-HD. AMD Ryzen 5-4500U. 16GB DDR4 RAM. 512GB M.2",MEDION Akoya E,313619360,2021-08-17,DHV9EB2U98,GTA89803Z5,67.21848739495798,134.43697478991595,0.0,134.43697478991595,25.543025210084032,159.98,4527296
Fynn,Eberherr,Vogelbeerstraße,28,71563,Affalterbach,Deutschland,85H179621424,ZJTL89010041,2021-07-07,386864841,DE587766610,1,912C8DU,hp T18N040.00 als Ersatzteil/Defekt Nr. 16,hp T18N,574289468,2021-07-10,LGI1SF7R33,BZG41701T2,5.033613445378152,5.033613445378152,0.0,5.033613445378152,0.9563865546218489,5.990000000000001,8627140
